name,gt,gpt4v
02-01-03-02-01-01-06,happy,"happy,neutral,calm,surprised,fearful"
02-01-06-01-02-02-24,fearful,"sad,fearful,neutral,disgust,calm"
02-01-03-01-02-02-05,happy,"happy,neutral,calm,surprised,fearful"
02-01-08-01-01-01-12,surprised,"neutral,calm,happy,surprised,sad"
02-01-07-02-02-02-07,disgust,"disgust,angry,neutral,sad,fearful"
02-01-04-01-01-01-15,sad,"neutral,calm,sad,fearful,disgust"
02-01-02-01-01-01-09,calm,"calm,neutral,happy,surprised,sad"
02-01-02-01-01-02-14,calm,"neutral,calm,happy,surprised,sad"
02-01-03-02-02-01-15,happy,"sad,fearful,disgust,neutral,calm"
02-01-06-02-01-02-18,fearful,"angry,disgust,neutral,sad,fearful"
02-01-07-02-02-02-08,disgust,"neutral,calm,happy,surprised,sad"
02-01-07-01-01-01-19,disgust,"sad,fearful,disgust,neutral,calm"
02-01-06-01-02-02-23,fearful,"neutral,calm,sad,disgust,fearful"
02-01-04-02-01-01-11,sad,"sad,disgust,fearful,neutral,calm"
02-01-02-01-02-01-24,calm,"neutral,calm,happy,surprised,fearful"
02-01-04-02-02-02-01,sad,"happy,surprised,neutral,calm,fearful"
02-01-03-01-01-02-02,happy,"neutral,calm,happy,surprised,sad"
02-01-05-02-02-01-23,angry,"happy,surprised,neutral,calm,sad"
02-01-05-01-02-01-19,angry,"neutral,calm,sad,disgust,angry"
02-01-07-01-01-01-07,disgust,"sad,disgust,neutral,calm,angry"
02-01-03-02-02-01-03,happy,"disgust,angry,sad,fearful,neutral"
02-01-08-02-01-01-05,surprised,"angry,disgust,sad,fearful,neutral"
02-01-06-01-02-02-16,fearful,"happy,surprised,neutral,calm,fearful"
02-01-07-02-01-02-20,disgust,"surprised,happy,neutral,calm,fearful"
02-01-08-02-02-02-10,surprised,"surprised,fearful,neutral,calm,sad"
02-01-01-01-02-02-15,neutral,"neutral,calm,sad,fearful,disgust"
02-01-04-02-02-01-17,sad,"sad,neutral,calm,disgust,fearful"
02-01-08-02-01-02-12,surprised,"neutral,calm,happy,surprised,sad"
02-01-06-02-01-01-19,fearful,"disgust,angry,sad,neutral,calm"
02-01-01-01-01-01-22,neutral,"neutral,calm,sad,disgust,fearful"
02-01-05-01-02-01-24,angry,"neutral,calm,happy,surprised,sad"
02-01-04-01-02-01-23,sad,"happy,surprised,neutral,calm,fearful"
02-01-02-01-01-01-14,calm,"sad,disgust,neutral,calm,angry"
02-01-05-01-01-01-09,angry,"neutral,calm,sad,happy,surprised"
02-01-08-02-02-02-08,surprised,"surprised,fearful,neutral,calm,sad"
02-01-04-01-01-01-01,sad,"neutral,calm,sad,happy,surprised"
02-01-07-02-01-02-17,disgust,"disgust,angry,neutral,calm,sad"
02-01-04-02-01-01-18,sad,"sad,neutral,calm,fearful,disgust"
02-01-06-01-02-01-09,fearful,"sad,fearful,neutral,calm,disgust"
02-01-04-02-01-02-03,sad,"sad,neutral,calm,fearful,disgust"
02-01-05-01-01-02-20,angry,"neutral,calm,sad,disgust,fearful"
02-01-04-01-01-01-09,sad,"neutral,calm,sad,disgust,fearful"
02-01-04-01-02-02-15,sad,"neutral,calm,happy,surprised,sad"
02-01-05-01-02-01-12,angry,"calm,neutral,happy,surprised,sad"
02-01-06-01-02-02-13,fearful,"calm,neutral,happy,surprised,sad"
02-01-06-02-02-01-15,fearful,"calm,neutral,happy,surprised,sad"
02-01-06-01-02-01-12,fearful,"calm,neutral,happy,surprised,sad"
02-01-02-01-02-01-06,calm,"neutral,calm,happy,surprised,disgust"
02-01-01-01-02-01-18,neutral,"neutral,calm,sad,fearful,disgust"
02-01-04-01-02-02-17,sad,"neutral,calm,sad,fearful,disgust"
02-01-05-02-01-02-05,angry,"neutral,calm,sad,fearful,disgust"
02-01-03-02-02-01-22,happy,"happy,neutral,calm,surprised,fearful"
02-01-04-01-02-02-02,sad,"neutral,calm,sad,fearful,disgust"
02-01-07-01-01-01-08,disgust,"sad,fearful,disgust,neutral,calm"
02-01-02-02-02-01-03,calm,"happy,neutral,calm,surprised,fearful"
02-01-04-02-01-01-21,sad,"neutral,calm,sad,fearful,disgust"
02-01-01-01-01-01-14,neutral,"sad,fearful,disgust,neutral,calm"
02-01-05-02-02-02-15,angry,"neutral,calm,sad,fearful,disgust"
02-01-05-02-01-01-21,angry,"neutral,calm,sad,fearful,disgust"
02-01-05-02-02-01-22,angry,"neutral,calm,sad,fearful,disgust"
02-01-07-02-01-01-02,disgust,"neutral,calm,sad,disgust,fearful"
02-01-07-02-02-02-03,disgust,"disgust,sad,fearful,angry,neutral"
02-01-05-02-02-01-13,angry,"sad,disgust,fearful,neutral,calm"
02-01-06-01-01-02-03,fearful,"neutral,calm,sad,disgust,fearful"
02-01-05-02-02-02-17,angry,"neutral,calm,sad,disgust,fearful"
