name,gt,gpt4v
abstract_0208.jpg,positive,"Amusement,Content,Awe,Excitement,Sad,Anger,Disgust,Fear"
abstract_0248.jpg,positive,"Awe,Content,Amusement,Excitement,Fear,Sad,Anger,Disgust"
abstract_0099.jpg,positive,"Content,Amusement,Awe,Excitement,Sad,Fear,Anger,Disgust"
abstract_0180.jpg,positive,"Awe,Content,Excitement,Amusement,Fear,Sad,Disgust,Anger"
abstract_0084.jpg,positive,"Awe,Excitement,Amusement,Content,Fear,Anger,Sad,Disgust"
abstract_0245.jpg,positive,"Anger,Fear,Awe,Sad,Disgust,Content,Excitement,Amusement"
abstract_0263.jpg,negative,"Content,Amusement,Awe,Excitement,Sad,Fear,Anger,Disgust"
abstract_0012.jpg,positive,"Content,Amusement,Awe,Excitement,Sad,Fear,Anger,Disgust"
abstract_0010.jpg,positive,"Content,Awe,Amusement,Excitement,Sad,Fear,Anger,Disgust"
abstract_0278.jpg,positive,"Awe,Content,Sad,Fear,Amusement,Excitement,Anger,Disgust"
abstract_0138.jpg,positive,"Amusement,Content,Awe,Excitement,Sad,Fear,Anger,Disgust"
abstract_0004.jpg,negative,"Content,Awe,Amusement,Excitement,Sad,Fear,Anger,Disgust"
abstract_0254.jpg,positive,"Amusement,Awe,Excitement,Content,Fear,Sad,Anger,Disgust"
abstract_0135.jpg,positive,"Amusement,Awe,Excitement,Content,Sad,Fear,Anger,Disgust"
abstract_0050.jpg,positive,"Awe,Amusement,Excitement,Content,Fear,Sad,Anger,Disgust"
abstract_0187.jpg,positive,"Content,Amusement,Awe,Excitement,Sad,Fear,Anger,Disgust"
abstract_0036.jpg,negative,"Sad,Disgust,Anger,Fear,Content,Awe,Excitement,Amusement"
abstract_0210.jpg,positive,"Content,Awe,Amusement,Excitement,Sad,Fear,Anger,Disgust"
abstract_0203.jpg,negative,"Sad,Anger,Disgust,Fear,Content,Awe,Excitement,Amusement"
abstract_0160.jpg,positive,"Awe,Amusement,Excitement,Content,Sad,Fear,Anger,Disgust"
abstract_0205.jpg,negative,"Content,Amusement,Awe,Excitement,Sad,Fear,Disgust,Anger"
abstract_0105.jpg,positive,"Awe,Content,Amusement,Excitement,Sad,Fear,Anger,Disgust"
abstract_0120.jpg,positive,"Awe,Content,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0032.jpg,positive,"Awe,Content,Fear,Sad,Amusement,Excitement,Disgust,Anger"
abstract_0281.jpg,positive,"Content,Awe,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0077.jpg,positive,"Awe,Content,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0216.jpg,negative,"Disgust,Fear,Sad,Anger,Awe,Content,Amusement,Excitement"
abstract_0276.jpg,positive,"Awe,Content,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0155.jpg,negative,"Awe,Excitement,Content,Amusement,Fear,Sad,Disgust,Anger"
abstract_0044.jpg,positive,"Amusement,Excitement,Awe,Content,Sad,Fear,Disgust,Anger"
abstract_0041.jpg,positive,"Excitement,Amusement,Awe,Content,Anger,Disgust,Fear,Sad"
abstract_0143.jpg,negative,"Anger,Disgust,Sad,Fear,Content,Awe,Excitement,Amusement"
abstract_0148.jpg,positive,"Awe,Content,Amusement,Excitement,Fear,Anger,Disgust,Sad"
abstract_0280.jpg,negative,"Disgust,Fear,Sad,Anger,Content,Awe,Excitement,Amusement"
abstract_0140.jpg,negative,"Awe,Content,Excitement,Amusement,Fear,Anger,Disgust,Sad"
abstract_0161.jpg,negative,"Awe,Content,Amusement,Excitement,Anger,Disgust,Fear,Sad"
abstract_0261.jpg,positive,"Awe,Sad,Content,Fear,Disgust,Anger,Excitement,Amusement"
abstract_0086.jpg,positive,"Awe,Content,Excitement,Amusement,Anger,Disgust,Fear,Sad"
abstract_0249.jpg,negative,"Amusement,Awe,Excitement,Content,Disgust,Anger,Fear,Sad"
abstract_0011.jpg,negative,"Content,Awe,Sad,Disgust,Fear,Anger,Excitement,Amusement"
abstract_0065.jpg,negative,"Awe,Sad,Disgust,Fear,Anger,Content,Excitement,Amusement"
abstract_0068.jpg,negative,"Awe,Content,Amusement,Excitement,Fear,Sad,Disgust,Anger"
abstract_0267.jpg,positive,"Amusement,Awe,Excitement,Content,Disgust,Fear,Sad,Anger"
abstract_0239.jpg,positive,"Content,Amusement,Awe,Excitement,Sad,Fear,Disgust,Anger"
abstract_0262.jpg,negative,"Sad,Awe,Content,Fear,Disgust,Anger,Excitement,Amusement"
abstract_0001.jpg,positive,"Awe,Content,Excitement,Amusement,Fear,Sad,Disgust,Anger"
abstract_0085.jpg,negative,"Excitement,Amusement,Awe,Content,Fear,Sad,Disgust,Anger"
abstract_0029.jpg,positive,"Content,Amusement,Awe,Excitement,Sad,Fear,Disgust,Anger"
abstract_0075.jpg,positive,"Sad,Content,Awe,Fear,Disgust,Anger,Excitement,Amusement"
abstract_0112.jpg,negative,"Awe,Excitement,Amusement,Content,Fear,Sad,Disgust,Anger"
abstract_0152.jpg,negative,"Awe,Content,Sad,Fear,Disgust,Anger,Excitement,Amusement"
abstract_0016.jpg,negative,"Sad,Disgust,Fear,Awe,Anger,Content,Excitement,Amusement"
abstract_0188.jpg,positive,"Content,Awe,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0282.jpg,positive,"Content,Awe,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0238.jpg,positive,"Amusement,Excitement,Awe,Content,Sad,Fear,Disgust,Anger"
abstract_0274.jpg,positive,"Awe,Excitement,Amusement,Content,Fear,Sad,Disgust,Anger"
abstract_0195.jpg,negative,"Content,Awe,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0045.jpg,positive,"Awe,Content,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0174.jpg,negative,"Excitement,Awe,Amusement,Content,Fear,Sad,Disgust,Anger"
abstract_0092.jpg,positive,"Amusement,Excitement,Awe,Content,Fear,Sad,Disgust,Anger"
abstract_0219.jpg,negative,"Awe,Content,Amusement,Excitement,Sad,Fear,Anger,Disgust"
abstract_0047.jpg,positive,"Awe,Content,Amusement,Excitement,Fear,Sad,Anger,Disgust"
abstract_0164.jpg,negative,"Excitement,Amusement,Awe,Content,Anger,Fear,Sad,Disgust"
abstract_0009.jpg,positive,"Content,Amusement,Awe,Excitement,Sad,Fear,Anger,Disgust"
abstract_0144.jpg,positive,"Content,Sad,Awe,Amusement,Fear,Excitement,Anger,Disgust"
abstract_0186.jpg,positive,"Awe,Fear,Excitement,Amusement,Content,Sad,Anger,Disgust"
abstract_0150.jpg,positive,"Content,Amusement,Awe,Excitement,Sad,Fear,Anger,Disgust"
abstract_0212.jpg,positive,"Awe,Content,Amusement,Excitement,Sad,Fear,Anger,Disgust"
abstract_0109.jpg,positive,"Awe,Sad,Content,Fear,Amusement,Excitement,Anger,Disgust"
abstract_0052.jpg,negative,"Awe,Content,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0194.jpg,positive,"Awe,Excitement,Amusement,Content,Fear,Sad,Anger,Disgust"
abstract_0269.jpg,negative,"Disgust,Sad,Fear,Anger,Content,Awe,Amusement,Excitement"
abstract_0196.jpg,negative,"Content,Amusement,Awe,Excitement,Sad,Fear,Disgust,Anger"
abstract_0043.jpg,negative,"Fear,Awe,Sad,Anger,Disgust,Content,Excitement,Amusement"
abstract_0020.jpg,positive,"Awe,Content,Excitement,Amusement,Sad,Fear,Disgust,Anger"
abstract_0088.jpg,positive,"Content,Awe,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0130.jpg,positive,"Awe,Sad,Fear,Content,Disgust,Anger,Excitement,Amusement"
abstract_0008.jpg,negative,"Awe,Content,Amusement,Excitement,Sad,Fear,Disgust,Anger"
abstract_0167.jpg,negative,"Sad,Awe,Fear,Disgust,Anger,Content,Excitement,Amusement"
abstract_0102.jpg,positive,"Awe,Content,Sad,Amusement,Excitement,Fear,Disgust,Anger"
abstract_0170.jpg,negative,"Disgust,Anger,Fear,Sad,Awe,Content,Excitement,Amusement"
abstract_0275.jpg,negative,"Content,Awe,Sad,Amusement,Excitement,Fear,Disgust,Anger"
abstract_0246.jpg,positive,"Amusement,Excitement,Awe,Content,Sad,Fear,Disgust,Anger"
abstract_0002.jpg,positive,"Content,Amusement,Awe,Excitement,Sad,Fear,Disgust,Anger"
