name,gt,gpt4v
XDWPDlGLLt,Happy,"Happy,Surprise,Neutral,Fear,Sad"
KmXeybWWOH,Angry,"Neutral,Happy,Surprise,Sad,Fear"
gUUu2Rhfd6,Fear,"Sad,Neutral,Fear,Disgust,Angry"
LQ3YZXIJzM,Neutral,"Happy,Neutral,Surprise,Sad,Fear"
WBynnQNRzd,Happy,"Neutral,Sad,Fear,Disgust,Angry"
N5DHoWQ5qY,Neutral,"Happy,Neutral,Surprise,Sad,Fear"
hJOGzZXKpd,Neutral,"Neutral,Happy,Surprise,Sad,Fear"
hFhWeDF9A1,Surprise,"Neutral,Happy,Surprise,Sad,Angry"
EhoBhivh56,Surprise,"Surprise,Happy,Neutral,Fear,Sad"
4SJ5IKivpM,Angry,"Neutral,Happy,Surprise,Sad,Fear"
ZJ6ANBGlcO,Happy,"Happy,Surprise,Neutral,Sad,Fear"
v5EODlKWwg,Sad,"Neutral,Sad,Fear,Disgust,Angry"
EMYRWuUUVK,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
fwyO6C12xz,Angry,"Neutral,Sad,Fear,Disgust,Angry"
p9jucduYnN,Angry,"Angry,Disgust,Fear,Neutral,Sad"
yDD3ZhVB6x,Sad,"Neutral,Sad,Fear,Disgust,Angry"
kAE8PjXpwa,Disgust,"Sad,Neutral,Disgust,Angry,Fear"
ppt2F4E9AG,Surprise,"Neutral,Sad,Fear,Disgust,Angry"
9UXL8JOy7e,Happy,"Neutral,Sad,Disgust,Fear,Angry"
BbOnPxoPnL,Angry,"Neutral,Sad,Disgust,Fear,Angry"
NFKlWVUrah,Happy,"Neutral,Sad,Disgust,Fear,Angry"
gbSujmypOm,Surprise,"Neutral,Sad,Disgust,Fear,Angry"
zlZ250ZDYR,Happy,"Neutral,Sad,Disgust,Fear,Angry"
CzlCg2zbpH,Sad,"Neutral,Sad,Disgust,Fear,Angry"
xEbbFbn27n,Happy,"Happy,Neutral,Surprise,Fear,Sad"
Ax6zmz0H0O,Happy,"Neutral,Surprise,Fear,Happy,Sad"
RuXPbb6Rle,Sad,"Sad,Fear,Disgust,Neutral,Angry"
hALUIHYyJM,Angry,"Neutral,Angry,Disgust,Fear,Sad"
k85Br80TzR,Surprise,"Surprise,Fear,Neutral,Happy,Sad"
rg1R3RjLrM,Angry,"Neutral,Sad,Disgust,Angry,Fear"
THpcfOkIWI,Sad,"Neutral,Sad,Disgust,Fear,Angry"
Iu0r7YWqer,Sad,"Neutral,Sad,Disgust,Angry,Fear"
byuWR3TN2f,Surprise,"Sad,Neutral,Disgust,Fear,Angry"
1vZuUYzFbK,Fear,"Happy,Surprise,Neutral,Fear,Sad"
hIy54I08qB,Happy,"Neutral,Happy,Surprise,Sad,Fear"
eqmoytA1lS,Surprise,"Happy,Neutral,Surprise,Fear,Sad"
J2oSIoTbnP,Angry,"Neutral,Sad,Disgust,Angry,Fear"
VlaWte7ZIZ,Disgust,"Neutral,Happy,Surprise,Sad,Fear"
s4Nv3pBjm0,Angry,"Happy,Neutral,Surprise,Sad,Fear"
g3uSFeroX0,Happy,"Neutral,Happy,Surprise,Sad,Angry"
oYSv2W25Hx,Sad,"Neutral,Sad,Happy,Fear,Disgust"
zuEwwUc1TH,Fear,"Sad,Neutral,Fear,Disgust,Angry"
y7Kn2pYV5S,Neutral,"Neutral,Surprise,Fear,Sad,Happy"
RqYbJ1Z17z,Sad,"Neutral,Sad,Happy,Fear,Angry"
aNNtbCG7Aw,Sad,"Neutral,Sad,Disgust,Fear,Angry"
WEh7UQgaXC,Sad,"Surprise,Fear,Neutral,Sad,Happy"
U4MySVVZyb,Neutral,"Neutral,Sad,Happy,Fear,Angry"
cpszTdoRPq,Neutral,"Neutral,Sad,Happy,Fear,Disgust"
Opjeeql6Tw,Neutral,"Surprise,Neutral,Happy,Fear,Sad"
BDPKhRJq0c,Sad,"Surprise,Fear,Neutral,Sad,Disgust"
tSju3N7b7p,Sad,"Surprise,Fear,Sad,Neutral,Angry"
SSjbezrAYg,Neutral,"Sad,Neutral,Fear,Disgust,Angry"
GMCIhiAy3a,Surprise,"Fear,Sad,Neutral,Disgust,Angry"
mxBqnrdN2K,Sad,"Neutral,Surprise,Happy,Fear,Sad"
sPfRwFSy1S,Neutral,"Happy,Neutral,Surprise,Sad,Fear"
ykodejjtxd,Happy,"Neutral,Happy,Surprise,Sad,Fear"
nWKVRDJylx,Neutral,"Neutral,Happy,Surprise,Sad,Angry"
S7wYpAbed9,Neutral,"Happy,Neutral,Surprise,Sad,Fear"
YrwvRSBhZ8,Happy,"Neutral,Sad,Angry,Fear,Disgust"
eRfgtLCAtw,Angry,"Sad,Neutral,Angry,Fear,Disgust"
r4pwQW2hSd,Angry,"Neutral,Sad,Disgust,Angry,Fear"
yEzQgHgi5h,Sad,"Sad,Fear,Disgust,Neutral,Angry"
Bk5P7MuVEz,Happy,"Neutral,Happy,Surprise,Sad,Fear"
lvMROQjvqu,Neutral,"Neutral,Happy,Sad,Surprise,Angry"
P2tI5o7U8M,Sad,"Neutral,Sad,Fear,Disgust,Angry"
w2NKdoTCsA,Surprise,"Neutral,Happy,Surprise,Sad,Angry"
MWj9e8DLX8,Angry,"Happy,Surprise,Neutral,Sad,Fear"
s6w1uKTBEf,Neutral,"Neutral,Happy,Surprise,Sad,Angry"
fnNW9OVcpx,Neutral,"Neutral,Happy,Surprise,Sad,Fear"
lDVDqwvB8W,Neutral,"Neutral,Happy,Surprise,Sad,Angry"
X0WC1FqqWA,Neutral,"Neutral,Happy,Surprise,Sad,Fear"
Zl3Eidk2So,Happy,"Happy,Neutral,Surprise,Sad,Fear"
NZcb2ek0zu,Neutral,"Neutral,Disgust,Angry,Sad,Surprise"
28LrPdo0er,Fear,"Fear,Surprise,Sad,Neutral,Disgust"
dBu21bVyWK,Happy,"Happy,Neutral,Surprise,Sad,Fear"
3HL599bp2Y,Sad,"Neutral,Sad,Disgust,Angry,Fear"
E1Md68VfdP,Neutral,"Neutral,Happy,Surprise,Sad,Fear"
1hEJl3o8BV,Angry,"Neutral,Sad,Disgust,Angry,Fear"
oNPlmgJwBQ,Happy,"Happy,Neutral,Surprise,Sad,Fear"
InIQQfgsLl,Neutral,"Neutral,Sad,Fear,Disgust,Angry"
pofI4ylQoG,Angry,"Neutral,Sad,Disgust,Angry,Fear"
lmDM6k8v04,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
4NfH6vGZIV,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
rshXL1YWct,Neutral,"Happy,Neutral,Surprise,Sad,Fear"
GzG5PCAKD7,Sad,"Fear,Surprise,Sad,Neutral,Disgust"
NznWfLvK8Y,Sad,"Neutral,Sad,Fear,Disgust,Angry"
Y1H7LLb6cr,Surprise,"Surprise,Neutral,Fear,Happy,Sad"
0JOrIWGIbp,Sad,"Neutral,Sad,Angry,Disgust,Fear"
FawFeTVeXf,Angry,"Happy,Surprise,Neutral,Fear,Sad"
Kv2g7MRl1f,Happy,"Sad,Neutral,Disgust,Fear,Angry"
JHabMpYpwt,Neutral,"Neutral,Sad,Angry,Disgust,Fear"
fGtE8AgFMo,Neutral,"Happy,Neutral,Surprise,Sad,Fear"
4fumXhjYiE,Neutral,"Neutral,Happy,Surprise,Sad,Fear"
fIBhWhGOcH,Neutral,"Angry,Disgust,Neutral,Sad,Fear"
SxU6aBedVt,Angry,"Sad,Neutral,Disgust,Fear,Angry"
pY3ypNgqqi,Surprise,"Neutral,Sad,Disgust,Fear,Angry"
DSjjMqGi4W,Angry,"Neutral,Sad,Angry,Disgust,Fear"
3AIB02KRdO,Neutral,"Happy,Surprise,Neutral,Fear,Sad"
pgrYQIL1lJ,Sad,"Sad,Neutral,Disgust,Angry,Fear"
ndT3HJxUb5,Disgust,"Neutral,Disgust,Angry,Sad,Fear"
97HcT6idmD,Fear,"Happy,Surprise,Neutral,Sad,Fear"
FYw72lVRpD,Sad,"Neutral,Sad,Fear,Disgust,Angry"
Q2mS1yuAKV,Neutral,"Happy,Neutral,Surprise,Sad,Fear"
s3SvG7KqUJ,Sad,"Fear,Disgust,Sad,Neutral,Angry"
b5xAA64y2N,Sad,"Happy,Surprise,Neutral,Sad,Fear"
HtdTmsEwkV,Happy,"Sad,Neutral,Disgust,Angry,Fear"
Z3PJWJrmop,Happy,"Happy,Neutral,Surprise,Sad,Fear"
