name,gt,gpt4v
sample_0592,sadness,"sadness,disgust,anger,fear,surprise"
sample_1187,happiness,"happiness,surprise,sadness,fear,disgust"
sample_0286,happiness,"neutral,sadness,disgust,anger,fear"
sample_0316,happiness,"happiness,surprise,neutral,sadness,fear"
sample_0237,surprise,"happiness,surprise,neutral,sadness,anger"
sample_0864,surprise,"neutral,sadness,disgust,anger,fear"
sample_0793,happiness,"happiness,surprise,neutral,sadness,anger"
sample_1170,anger,"neutral,sadness,disgust,anger,fear"
sample_0346,happiness,"neutral,sadness,disgust,anger,fear"
sample_1237,disgust,"anger,disgust,fear,sadness,surprise"
sample_0094,anger,"neutral,sadness,disgust,anger,fear"
sample_0948,sadness,"neutral,sadness,disgust,anger,fear"
sample_0702,fear,"sadness,disgust,anger,fear,surprise"
sample_0831,sadness,"surprise,fear,happiness,sadness,disgust"
sample_1252,sadness,"sadness,disgust,anger,fear,happiness"
sample_1275,happiness,"sadness,anger,disgust,fear,happiness"
sample_0127,disgust,"sadness,disgust,anger,fear,happiness"
sample_0508,anger,"happiness,surprise,sadness,fear,disgust"
sample_0205,sadness,"happiness,surprise,sadness,anger,fear"
sample_0980,sadness,"sadness,disgust,anger,fear,happiness"
sample_0968,fear,"sadness,anger,disgust,fear,happiness"
sample_0615,happiness,"happiness,surprise,sadness,anger,fear"
sample_0838,anger,"happiness,surprise,sadness,anger,fear"
sample_1006,happiness,"happiness,surprise,sadness,anger,fear"
sample_0375,fear,"neutral,sadness,disgust,anger,fear"
sample_0159,disgust,"happiness,surprise,neutral,sadness,disgust"
sample_0523,happiness,"happiness,surprise,neutral,sadness,anger"
sample_0086,surprise,"sadness,disgust,anger,fear,neutral"
sample_0804,surprise,"surprise,happiness,neutral,fear,sadness"
sample_1044,surprise,"sadness,disgust,anger,fear,neutral"
sample_1135,surprise,"neutral,sadness,disgust,anger,fear"
sample_0321,sadness,"anger,disgust,sadness,fear,neutral"
sample_0997,disgust,"sadness,disgust,anger,neutral,fear"
sample_0760,fear,"neutral,sadness,disgust,anger,fear"
sample_0633,disgust,"sadness,disgust,anger,neutral,fear"
sample_1069,sadness,"neutral,sadness,disgust,anger,fear"
sample_0365,anger,"sadness,disgust,anger,fear,surprise"
sample_0602,anger,"happiness,surprise,fear,sadness,disgust"
sample_0381,sadness,"sadness,disgust,anger,fear,surprise"
sample_0500,sadness,"sadness,anger,disgust,fear,surprise"
sample_0341,fear,"happiness,surprise,sadness,fear,disgust"
sample_0484,disgust,"sadness,anger,disgust,fear,surprise"
sample_1226,surprise,"sadness,disgust,anger,fear,surprise"
sample_0863,surprise,"happiness,surprise,sadness,fear,disgust"
sample_0021,sadness,"sadness,anger,disgust,fear,surprise"
sample_1007,happiness,"sadness,disgust,anger,fear,surprise"
sample_0272,anger,"happiness,surprise,sadness,fear,disgust"
sample_1075,surprise,"sadness,anger,disgust,fear,surprise"
sample_0764,happiness,"neutral,sadness,disgust,anger,fear"
sample_0551,fear,"happiness,surprise,neutral,sadness,disgust"
sample_1091,fear,"neutral,sadness,disgust,anger,fear"
sample_0570,anger,"neutral,sadness,disgust,anger,fear"
sample_0820,fear,"happiness,surprise,neutral,sadness,disgust"
sample_1164,surprise,"neutral,sadness,disgust,anger,fear"
sample_0934,disgust,"neutral,sadness,disgust,anger,fear"
sample_1123,happiness,"happiness,surprise,neutral,sadness,disgust"
sample_1175,disgust,"neutral,sadness,disgust,anger,fear"
sample_0770,sadness,"neutral,sadness,disgust,anger,fear"
sample_0111,sadness,"happiness,surprise,neutral,sadness,disgust"
sample_1216,happiness,"neutral,sadness,disgust,anger,fear"
sample_0755,disgust,"sadness,disgust,anger,fear,surprise"
sample_1022,anger,"sadness,disgust,anger,fear,happiness"
sample_0815,disgust,"anger,disgust,sadness,fear,surprise"
sample_0537,surprise,"sadness,disgust,anger,fear,happiness"
sample_1180,fear,"sadness,anger,disgust,fear,surprise"
sample_1238,fear,"sadness,disgust,anger,fear,happiness"
sample_1079,anger,"sadness,anger,disgust,fear,surprise"
sample_0134,fear,"sadness,disgust,anger,fear,happiness"
sample_1103,surprise,"sadness,anger,disgust,fear,surprise"
sample_0617,happiness,"sadness,disgust,anger,fear,happiness"
sample_1247,happiness,"sadness,anger,disgust,fear,surprise"
sample_0644,happiness,"happiness,surprise,sadness,fear,anger"
sample_0239,surprise,"neutral,sadness,disgust,anger,fear"
sample_0489,fear,"neutral,happiness,surprise,sadness,disgust"
sample_0684,surprise,"sadness,neutral,disgust,anger,fear"
sample_1113,disgust,"neutral,sadness,disgust,anger,fear"
sample_0642,fear,"sadness,neutral,disgust,anger,fear"
sample_0614,happiness,"neutral,sadness,disgust,anger,fear"
sample_0442,sadness,"neutral,sadness,disgust,anger,fear"
sample_0737,happiness,"neutral,sadness,disgust,anger,fear"
sample_0155,anger,"happiness,surprise,neutral,sadness,disgust"
sample_0176,surprise,"neutral,happiness,surprise,sadness,disgust"
sample_0356,surprise,"surprise,fear,happiness,neutral,sadness"
sample_0986,surprise,"happiness,surprise,neutral,sadness,disgust"
sample_0382,sadness,"neutral,sadness,disgust,anger,fear"
sample_1133,surprise,"neutral,sadness,disgust,anger,fear"
sample_0505,surprise,"neutral,sadness,disgust,anger,fear"
sample_1207,disgust,"neutral,sadness,disgust,anger,fear"
sample_0583,happiness,"neutral,sadness,disgust,anger,fear"
sample_1104,surprise,"neutral,sadness,disgust,anger,fear"
sample_0621,sadness,"happiness,surprise,neutral,sadness,disgust"
sample_0658,anger,"happiness,surprise,neutral,sadness,disgust"
sample_0328,surprise,"neutral,sadness,disgust,anger,fear"
sample_1002,fear,"neutral,sadness,disgust,anger,fear"
sample_0138,happiness,"neutral,sadness,disgust,anger,fear"
sample_0935,disgust,"neutral,sadness,disgust,anger,fear"
sample_0266,surprise,"neutral,sadness,disgust,anger,fear"
sample_0062,anger,"neutral,sadness,disgust,anger,fear"
sample_0058,surprise,"neutral,sadness,disgust,anger,fear"
sample_0933,disgust,"neutral,sadness,disgust,anger,fear"
sample_1276,happiness,"neutral,sadness,disgust,anger,fear"
sample_0384,surprise,"neutral,sadness,disgust,anger,fear"
sample_0213,anger,"happiness,surprise,neutral,sadness,disgust"
sample_0342,fear,"happiness,surprise,neutral,sadness,disgust"
sample_0696,disgust,"neutral,sadness,disgust,anger,fear"
sample_0288,happiness,"neutral,sadness,disgust,anger,fear"
sample_0883,happiness,"happiness,surprise,neutral,sadness,disgust"
sample_0924,surprise,"happiness,surprise,neutral,sadness,disgust"
