name,gt,gpt4v
video_0045_0045,-0.6,"positive,weakly positive,neutral,weakly negative,negative"
video_0019_0010,1.0,"positive,weakly positive,neutral,weakly negative,negative"
video_0045_0089,0.2,"neutral,weakly negative,negative,weakly positive,positive"
video_0050_0002,-1.0,"neutral,weakly positive,positive,weakly negative,negative"
video_0027_0036,1.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0035_0001,0.0,"neutral,weakly positive,positive,weakly negative,negative"
video_0055_0026,-1.0,"positive,weakly positive,neutral,weakly negative,negative"
video_0025_0053,0.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0036_0004,-0.8,"negative,weakly negative,neutral,weakly positive,positive"
video_0032_0002,-1.0,"negative,weakly negative,neutral,weakly positive,positive"
video_0055_0031,-0.8,"neutral,weakly negative,negative,weakly positive,positive"
video_0012_0016,1.0,"neutral,weakly positive,positive,weakly negative,negative"
video_0015_0001,0.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0048_0015,-1.0,"neutral,weakly positive,positive,weakly negative,negative"
video_0040_0019,-1.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0043_0041,-0.4,"neutral,weakly positive,positive,weakly negative,negative"
video_0023_0043,1.0,"positive,weakly positive,neutral,weakly negative,negative"
video_0046_0039,0.2,"neutral,weakly negative,negative,weakly positive,positive"
video_0045_0061,-0.8,"positive,weakly positive,neutral,weakly negative,negative"
video_0040_0018,-0.8,"neutral,weakly negative,negative,weakly positive,positive"
video_0002_0029,-0.6,"neutral,weakly negative,negative,weakly positive,positive"
video_0002_0025,-0.2,"negative,weakly negative,neutral,weakly positive,positive"
video_0057_0014,1.0,"positive,weakly positive,neutral,weakly negative,negative"
video_0015_0035,-0.6,"negative,weakly negative,neutral,weakly positive,positive"
video_0041_0005,-1.0,"negative,weakly negative,neutral,weakly positive,positive"
video_0027_0008,0.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0034_0013,-0.6,"neutral,weakly positive,positive,weakly negative,negative"
video_0024_0079,-0.6,"neutral,weakly negative,negative,weakly positive,positive"
video_0030_0010,-1.0,"neutral,weakly positive,positive,weakly negative,negative"
video_0010_0023,0.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0054_0057,-0.6,"neutral,weakly positive,positive,weakly negative,negative"
video_0014_0028,-1.0,"negative,weakly negative,neutral,weakly positive,positive"
video_0060_0034,-1.0,"negative,weakly negative,neutral,weakly positive,positive"
video_0009_0003,1.0,"positive,weakly positive,neutral,weakly negative,negative"
video_0055_0018,1.0,"neutral,weakly positive,positive,weakly negative,negative"
video_0055_0005,0.8,"neutral,weakly positive,positive,weakly negative,negative"
video_0047_0042,-1.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0011_0026,-0.2,"neutral,weakly positive,positive,weakly negative,negative"
video_0051_0038,1.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0024_0101,-1.0,"negative,weakly negative,neutral,weakly positive,positive"
video_0037_0005,0.2,"negative,weakly negative,neutral,weakly positive,positive"
video_0024_0062,0.6,"neutral,weakly positive,positive,weakly negative,negative"
video_0034_0006,-1.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0027_0028,0.6,"weakly positive,positive,neutral,weakly negative,negative"
video_0045_0040,-0.8,"weakly positive,neutral,positive,weakly negative,negative"
video_0041_0031,-1.0,"negative,weakly negative,neutral,weakly positive,positive"
video_0024_0029,-0.2,"neutral,weakly negative,negative,weakly positive,positive"
video_0053_0007,-0.2,"weakly positive,positive,neutral,weakly negative,negative"
video_0047_0015,0.2,"neutral,weakly negative,weakly positive,negative,positive"
video_0058_0001,1.0,"positive,weakly positive,neutral,weakly negative,negative"
video_0021_0011,-0.4,"neutral,weakly negative,negative,weakly positive,positive"
video_0016_0038,-1.0,"neutral,weakly positive,positive,weakly negative,negative"
video_0056_0090,-0.2,"neutral,weakly negative,negative,weakly positive,positive"
video_0027_0031,1.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0053_0037,-0.8,"positive,weakly positive,neutral,weakly negative,negative"
video_0053_0050,0.6,"positive,weakly positive,neutral,weakly negative,negative"
video_0054_0050,0.0,"neutral,weakly positive,positive,weakly negative,negative"
video_0046_0053,0.0,"neutral,weakly negative,negative,weakly positive,positive"
video_0056_0002,-0.2,"neutral,weakly positive,positive,weakly negative,negative"
video_0023_0015,-0.4,"negative,weakly negative,neutral,weakly positive,positive"
video_0054_0137,0.2,"neutral,weakly positive,positive,weakly negative,negative"
video_0006_0015,-1.0,"negative,weakly negative,neutral,weakly positive,positive"
video_0055_0030,-0.8,"neutral,weakly negative,negative,weakly positive,positive"
video_0025_0012,0.6,"positive,weakly positive,neutral,weakly negative,negative"
video_0013_0035,0.2,"positive,weakly positive,neutral,weakly negative,negative"
video_0012_0024,1.0,"neutral,weakly negative,weakly positive,negative,positive"
video_0054_0032,0.2,"positive,weakly positive,neutral,weakly negative,negative"
video_0048_0003,-1.0,"weakly negative,neutral,weakly positive,negative,positive"
video_0023_0051,-1.0,"neutral,weakly negative,weakly positive,negative,positive"
video_0056_0058,-0.2,"neutral,weakly positive,weakly negative,positive,negative"
video_0043_0028,0.0,"neutral,weakly negative,weakly positive,negative,positive"
video_0024_0025,0.2,"neutral,weakly negative,weakly positive,negative,positive"
