name,gt,gpt4v
EP05_2-47,tense,"tense,repression,disgust,surprise"
EP05_3-61,tense,"tense,repression,disgust,surprise"
EP12_2_12-039,tense,"tense,repression,disgust,surprise"
EP17_8-122,tense,"tense,repression,disgust,surprise"
EP12_4_6-008,disgust,"tense,repression,disgust,surprise"
EP02_6-160,disgust,"tense,repression,disgust,surprise"
EP17_1_3-032,tense,"repression,tense,disgust,surprise"
EP09_3-119,tense,"repression,tense,disgust,surprise"
EP02_2-73,repression,"tense,repression,disgust,surprise"
EP12_2_7-039,disgust,"tense,repression,disgust,surprise"
EP09_6-082,disgust,"tense,repression,disgust,surprise"
EP02_2-143,repression,"repression,tense,disgust,surprise"
EP12_4-055,tense,"tense,repression,disgust,surprise"
EP02_5-293,tense,"tense,repression,disgust,surprise"
EP12_1-095,surprise,"tense,repression,disgust,surprise"
EP07_1-131,surprise,"disgust,tense,repression,surprise"
EP06_1-61,tense,"tense,repression,disgust,surprise"
EP08_8-249,repression,"repression,tense,disgust,surprise"
EP03_2-61,tense,"tense,repression,disgust,surprise"
EP07_3-144,tense,"disgust,tense,repression,surprise"
EP08_6-076,tense,"disgust,tense,repression,surprise"
EP01_5-78,tense,"repression,tense,disgust,surprise"
EP09_3-89,tense,"repression,tense,disgust,surprise"
EP09_2-066,disgust,"disgust,tense,repression,surprise"
EP07-124,tense,"tense,repression,disgust,surprise"
EP08_1-33,repression,"repression,tense,disgust,surprise"
EP12_4_10-021,disgust,"disgust,tense,repression,surprise"
EP09_8-070,repression,"tense,disgust,repression,surprise"
EP06_2-108,tense,"repression,tense,disgust,surprise"
EP17_4-083,disgust,"tense,repression,disgust,surprise"
EP08_5-065,tense,"tense,repression,disgust,surprise"
EP15_3-45,repression,"repression,tense,surprise,disgust"
EP09_4-109,tense,"tense,repression,disgust,surprise"
EP12_2_5-012,surprise,"tense,repression,disgust,surprise"
EP16_3-85,tense,"repression,tense,disgust,surprise"
EP12_4_3-013,disgust,"tense,repression,disgust,surprise"
EP15_3-201,tense,"repression,tense,disgust,surprise"
EP02_5-161,repression,"tense,repression,surprise,disgust"
EP07_8-111,tense,"tense,repression,disgust,surprise"
EP01_6-33,tense,"repression,tense,disgust,surprise"
EP03_4-61,tense,"repression,tense,disgust,surprise"
EP06_7-099,disgust,"tense,repression,disgust,surprise"
EP08_1-089,surprise,"repression,tense,disgust,surprise"
EP02_2-168,tense,"repression,tense,disgust,surprise"
EP13_1-61,tense,"repression,tense,disgust,surprise"
EP17_3-249,disgust,"tense,repression,disgust,surprise"
EP12_2_3-023,disgust,"tense,repression,disgust,surprise"
EP17_2-151,tense,"tense,repression,disgust,surprise"
EP10_3-53,repression,"repression,tense,disgust,surprise"
EP02_2-41,repression,"repression,tense,disgust,surprise"
EP15_1-113,surprise,"repression,tense,disgust,surprise"
EP07_1-070,tense,"tense,repression,disgust,surprise"
EP17_7-97,tense,"repression,tense,disgust,surprise"
EP17_6-129,surprise,"repression,tense,disgust,surprise"
EP15_1-55,repression,"repression,tense,disgust,surprise"
EP13_5-110,repression,"repression,tense,surprise,disgust"
EP07_6-051,tense,"tense,repression,disgust,surprise"
EP05_4-55,repression,"repression,tense,disgust,surprise"
EP02_5-61,repression,"tense,repression,disgust,surprise"
EP08_3-067,tense,"repression,tense,disgust,surprise"
EP09_2-80,tense,"tense,repression,disgust,surprise"
EP12_2-96,repression,"repression,tense,disgust,surprise"
EP02_19-084,repression,"repression,tense,disgust,surprise"
EP07_9-055,repression,"repression,tense,disgust,surprise"
EP09_3-111,tense,"repression,tense,disgust,surprise"
EP07_1-83,disgust,"repression,tense,disgust,surprise"
EP12_4_7-019,disgust,"tense,repression,disgust,surprise"
EP07_7-101,disgust,"repression,tense,disgust,surprise"
EP15_2-103,repression,"tense,repression,disgust,surprise"
EP17_3-119,disgust,"tense,repression,disgust,surprise"
EP09_1-079,disgust,"repression,tense,disgust,surprise"
EP07_1-118,tense,"repression,tense,disgust,surprise"
EP02_2-076,tense,"repression,tense,disgust,surprise"
EP16_2-83,tense,"tense,repression,disgust,surprise"
EP12_2_1-026,disgust,"tense,repression,disgust,surprise"
EP17_9-390,disgust,"repression,tense,disgust,surprise"
