name,gt,gpt4v
k5Y_838nuGo_1,-1.6,
k5Y_838nuGo_2,1.2,
k5Y_838nuGo_3,0.8,
k5Y_838nuGo_4,1.0,
k5Y_838nuGo_5,-1.33333333333,
k5Y_838nuGo_6,2.0,
k5Y_838nuGo_7,-2.4,
k5Y_838nuGo_8,-1.4,
k5Y_838nuGo_9,1.8,
k5Y_838nuGo_10,2.0,
k5Y_838nuGo_11,0.5,
k5Y_838nuGo_12,0.2,
k5Y_838nuGo_13,0.6,
k5Y_838nuGo_14,-1.8,
k5Y_838nuGo_15,-0.8,
k5Y_838nuGo_16,0.25,
k5Y_838nuGo_17,0.8,
k5Y_838nuGo_18,0.4,
k5Y_838nuGo_19,-0.6,
k5Y_838nuGo_20,0.4,
k5Y_838nuGo_21,-0.2,
k5Y_838nuGo_22,0.4,
k5Y_838nuGo_23,-0.2,
k5Y_838nuGo_24,0.6,
k5Y_838nuGo_25,-0.2,
k5Y_838nuGo_26,2.0,
k5Y_838nuGo_27,-0.8,
k5Y_838nuGo_28,2.0,
k5Y_838nuGo_29,-0.75,
k5Y_838nuGo_30,1.6,
k5Y_838nuGo_31,-1.0,
cXypl4FnoZo_1,1.0,
cXypl4FnoZo_2,1.0,
cXypl4FnoZo_3,1.8,
cXypl4FnoZo_4,-0.8,
cXypl4FnoZo_5,1.8,
cXypl4FnoZo_6,-0.6,
cXypl4FnoZo_7,-1.0,
cXypl4FnoZo_8,1.4,
cXypl4FnoZo_9,1.2,
cXypl4FnoZo_10,2.0,
cXypl4FnoZo_11,1.4,
cXypl4FnoZo_12,2.0,
cXypl4FnoZo_13,-1.0,
cXypl4FnoZo_14,-0.6,
cXypl4FnoZo_15,0.0,
cXypl4FnoZo_16,-0.6,
cXypl4FnoZo_17,-0.6,
cXypl4FnoZo_18,-0.25,
cXypl4FnoZo_19,0.8,
cXypl4FnoZo_20,-1.0,
cXypl4FnoZo_21,-0.6,
cXypl4FnoZo_22,0.2,
cXypl4FnoZo_23,0.4,
cXypl4FnoZo_24,0.2,
cXypl4FnoZo_25,-1.2,
cXypl4FnoZo_26,0.6,
cXypl4FnoZo_27,0.8,
cXypl4FnoZo_28,-2.2,
cXypl4FnoZo_29,-1.4,
yvsjCA6Y5Fc_1,-2.0,
yvsjCA6Y5Fc_2,-1.2,
yvsjCA6Y5Fc_3,-2.0,
yvsjCA6Y5Fc_4,-0.2,
yvsjCA6Y5Fc_5,0.4,
yvsjCA6Y5Fc_6,0.0,
yvsjCA6Y5Fc_7,-1.8,
yvsjCA6Y5Fc_8,0.4,
yvsjCA6Y5Fc_9,-1.4,
yvsjCA6Y5Fc_10,-2.0,
yvsjCA6Y5Fc_11,2.0,
yvsjCA6Y5Fc_12,-0.6,
yvsjCA6Y5Fc_13,-2.0,
yvsjCA6Y5Fc_14,-1.0,
yvsjCA6Y5Fc_15,-2.0,
yvsjCA6Y5Fc_16,-1.8,
yvsjCA6Y5Fc_17,-0.6,
yvsjCA6Y5Fc_18,-2.2,
yvsjCA6Y5Fc_19,-1.6,
yvsjCA6Y5Fc_20,0.8,
yvsjCA6Y5Fc_21,-1.8,
yvsjCA6Y5Fc_22,-1.6,
yvsjCA6Y5Fc_23,-1.2,
f_pcplsH_V0_1,0.25,
f_pcplsH_V0_2,1.4,
f_pcplsH_V0_3,0.8,
f_pcplsH_V0_4,0.5,
f_pcplsH_V0_5,1.2,
f_pcplsH_V0_6,1.6,
f_pcplsH_V0_7,0.0,
f_pcplsH_V0_8,0.8,
f_pcplsH_V0_9,-2.4,
f_pcplsH_V0_10,1.2,
f_pcplsH_V0_11,-0.4,
f_pcplsH_V0_12,-0.8,
f_pcplsH_V0_13,1.6,
f_pcplsH_V0_14,-1.0,
f_pcplsH_V0_15,-1.0,
yDtzw_Y-7RU_1,0.8,
yDtzw_Y-7RU_2,0.8,
yDtzw_Y-7RU_3,0.75,
