name,gt,gpt4v
sample_00001998,worried,
sample_00003564,happy,
sample_00003845,happy,
sample_00000733,neutral,
sample_00000282,sad,
sample_00005891,neutral,
sample_00001444,angry,
sample_00000820,angry,
sample_00000905,happy,
sample_00000017,happy,
sample_00007005,angry,
sample_00005103,neutral,
sample_00005186,worried,
sample_00005947,sad,
sample_00003194,neutral,
sample_00006841,neutral,
sample_00006169,sad,
sample_00000750,neutral,
sample_00004817,neutral,
sample_00004702,worried,
sample_00006690,angry,
sample_00003039,worried,
sample_00003364,happy,
sample_00005754,sad,
sample_00006658,happy,
sample_00004889,angry,
sample_00006444,angry,
sample_00000360,surprise,
sample_00002135,happy,
sample_00005633,happy,
sample_00004917,happy,
sample_00003319,happy,
sample_00006248,angry,
sample_00005400,angry,
sample_00005065,angry,
sample_00001519,happy,
sample_00003805,angry,
sample_00004886,sad,
sample_00004305,worried,
sample_00002400,worried,
sample_00003764,worried,
sample_00006456,worried,
sample_00001259,angry,
sample_00003204,angry,
sample_00006667,sad,
sample_00003174,happy,
sample_00004469,sad,
sample_00001637,sad,
sample_00006932,happy,
sample_00001493,happy,
sample_00004210,angry,
sample_00000714,sad,
sample_00000848,happy,
sample_00004845,angry,
sample_00002044,happy,
sample_00002047,angry,
sample_00006215,angry,
sample_00000436,sad,
sample_00003168,angry,
sample_00000963,angry,
sample_00000696,angry,
sample_00003126,sad,
sample_00002738,angry,
sample_00003738,worried,
sample_00005791,happy,
sample_00005235,happy,
sample_00000691,worried,
sample_00001501,angry,
sample_00001613,angry,
sample_00000489,happy,
sample_00005886,happy,
sample_00004988,worried,
sample_00001044,happy,
sample_00002440,happy,
sample_00000463,angry,
sample_00004705,angry,
sample_00006600,surprise,
sample_00000193,worried,
sample_00001764,happy,
sample_00001910,happy,
sample_00004866,happy,
sample_00006996,sad,
sample_00001726,sad,
sample_00000372,angry,
sample_00005047,angry,
sample_00002068,angry,
sample_00005556,happy,
sample_00003875,sad,
sample_00001758,angry,
sample_00005522,angry,
sample_00004234,neutral,
sample_00003720,happy,
sample_00002646,sad,
sample_00006057,angry,
sample_00006763,angry,
sample_00005903,happy,
sample_00003275,worried,
sample_00001787,angry,
sample_00003488,angry,
sample_00005895,neutral,
sample_00000151,worried,
sample_00000014,neutral,
sample_00005273,neutral,
sample_00002034,happy,
sample_00003390,neutral,
sample_00005260,neutral,
sample_00005262,worried,
sample_00001002,angry,
sample_00002516,neutral,
sample_00004285,surprise,
sample_00001534,angry,
sample_00001673,angry,
sample_00004807,happy,
sample_00005086,worried,
sample_00004280,angry,
sample_00001221,sad,
sample_00000288,sad,
sample_00000998,sad,
sample_00004764,happy,
sample_00003088,neutral,
sample_00002061,happy,
sample_00001131,happy,
sample_00001584,neutral,
sample_00006219,happy,
sample_00002037,worried,
sample_00001778,angry,
sample_00007015,sad,
sample_00004560,happy,
sample_00006167,neutral,
sample_00002373,neutral,
sample_00001649,sad,
sample_00003737,happy,
sample_00003483,happy,
sample_00005784,worried,
sample_00005460,happy,
sample_00003956,angry,
sample_00001136,neutral,
sample_00006730,angry,
sample_00000708,worried,
sample_00006805,neutral,
sample_00003574,worried,
sample_00000780,neutral,
sample_00003453,neutral,
sample_00005475,neutral,
sample_00001902,happy,
sample_00003944,worried,
sample_00002226,happy,
sample_00004851,neutral,
sample_00005210,neutral,
sample_00006685,angry,
sample_00003450,neutral,
sample_00006369,happy,
sample_00000866,worried,
sample_00001895,angry,
sample_00001916,neutral,
sample_00002203,happy,
sample_00005461,worried,
sample_00004083,angry,
sample_00000734,neutral,
sample_00006090,angry,
sample_00004338,angry,
sample_00005763,worried,
sample_00004392,neutral,
sample_00003929,sad,
sample_00004909,angry,
sample_00001907,angry,
sample_00002746,happy,
sample_00002472,happy,
sample_00001937,neutral,
sample_00004789,angry,
sample_00001399,happy,
sample_00004978,neutral,
sample_00002193,happy,
sample_00000748,sad,
sample_00004897,neutral,
sample_00000277,angry,
sample_00002897,angry,
sample_00004046,worried,
sample_00001019,sad,
sample_00003089,neutral,
sample_00005276,angry,
sample_00006632,neutral,
sample_00002898,angry,
sample_00002959,angry,
sample_00000491,angry,
sample_00001071,happy,
sample_00002531,happy,
sample_00001459,neutral,
sample_00005822,surprise,
sample_00002090,worried,
sample_00005343,sad,
sample_00002305,happy,
sample_00003467,sad,
sample_00000941,neutral,
sample_00004761,neutral,
sample_00000583,surprise,
sample_00003781,sad,
sample_00006252,happy,
sample_00001179,worried,
sample_00005686,neutral,
sample_00003613,worried,
sample_00000449,worried,
sample_00004059,happy,
sample_00005124,happy,
sample_00004237,worried,
sample_00005141,happy,
sample_00006466,sad,
sample_00004340,happy,
sample_00001721,angry,
sample_00000060,sad,
sample_00005399,surprise,
sample_00004188,worried,
sample_00002512,sad,
