name,gt,gpt4v
1,Sad,
2,Neutral,
4,Sad,
6,Angry,
7,Angry,
8,Sad,
10,Fear,
11,Surprise,
12,Surprise,
13,Neutral,
15,Angry,
16,Fear,
18,Happy,
19,Surprise,
20,Angry,
21,Happy,
22,Sad,
24,Sad,
25,Angry,
26,Angry,
27,Neutral,
29,Happy,
31,Angry,
32,Fear,
33,Happy,
34,Happy,
37,Neutral,
43,Surprise,
45,Surprise,
46,Disgust,
48,Sad,
49,Sad,
53,Angry,
54,Happy,
55,Happy,
56,Fear,
57,Sad,
59,Angry,
60,Happy,
61,Surprise,
63,Neutral,
64,Angry,
65,Fear,
70,Neutral,
71,Happy,
72,Neutral,
73,Happy,
74,Neutral,
75,Neutral,
77,Surprise,
78,Happy,
79,Sad,
80,Sad,
82,Happy,
83,Happy,
84,Fear,
85,Neutral,
87,Neutral,
89,Happy,
91,Sad,
93,Surprise,
94,Sad,
95,Neutral,
97,Angry,
98,Happy,
99,Fear,
101,Fear,
103,Sad,
106,Angry,
107,Sad,
108,Fear,
109,Angry,
111,Angry,
112,Neutral,
113,Happy,
116,Angry,
117,Surprise,
119,Happy,
120,Sad,
122,Sad,
124,Angry,
126,Neutral,
127,Surprise,
128,Happy,
129,Neutral,
130,Angry,
131,Sad,
133,Surprise,
134,Neutral,
135,Sad,
136,Angry,
138,Angry,
139,Happy,
140,Angry,
141,Neutral,
142,Fear,
143,Angry,
145,Surprise,
146,Happy,
147,Happy,
148,Happy,
149,Sad,
150,Sad,
151,Surprise,
152,Neutral,
154,Neutral,
155,Angry,
157,Angry,
159,Angry,
160,Neutral,
161,Happy,
162,Neutral,
164,Angry,
165,Fear,
166,Angry,
167,Neutral,
168,Neutral,
169,Happy,
170,Angry,
172,Angry,
173,Surprise,
174,Fear,
175,Neutral,
177,Sad,
178,Neutral,
179,Happy,
180,Angry,
183,Fear,
184,Neutral,
185,Happy,
186,Sad,
187,Angry,
188,Sad,
190,Happy,
191,Happy,
194,Angry,
195,Neutral,
197,Angry,
199,Happy,
200,Neutral,
204,Fear,
205,Surprise,
206,Angry,
207,Sad,
208,Surprise,
211,Neutral,
212,Surprise,
214,Neutral,
215,Sad,
216,Happy,
217,Angry,
218,Neutral,
219,Angry,
220,Neutral,
221,Neutral,
222,Angry,
225,Neutral,
226,Happy,
227,Fear,
228,Happy,
229,Sad,
231,Neutral,
232,Sad,
233,Fear,
234,Sad,
236,Neutral,
240,Angry,
242,Happy,
244,Angry,
246,Neutral,
248,Happy,
249,Neutral,
250,Neutral,
251,Angry,
252,Angry,
253,Angry,
256,Surprise,
259,Neutral,
260,Surprise,
261,Neutral,
262,Disgust,
263,Surprise,
264,Surprise,
267,Fear,
269,Sad,
270,Happy,
271,Angry,
272,Neutral,
273,Surprise,
276,Angry,
277,Neutral,
278,Fear,
280,Neutral,
282,Neutral,
283,Sad,
284,Happy,
285,Neutral,
287,Neutral,
290,Fear,
293,Happy,
295,Sad,
296,Neutral,
297,Angry,
300,Sad,
301,Fear,
305,Happy,
308,Neutral,
309,Surprise,
310,Happy,
311,Angry,
312,Neutral,
315,Happy,
316,Happy,
317,Angry,
318,Neutral,
319,Neutral,
320,Neutral,
321,Sad,
324,Fear,
326,Neutral,
327,Angry,
329,Sad,
331,Sad,
332,Surprise,
334,Angry,
338,Sad,
339,Happy,
340,Angry,
341,Sad,
342,Happy,
343,Angry,
344,Neutral,
345,Happy,
346,Angry,
348,Angry,
349,Neutral,
350,Sad,
351,Angry,
352,Happy,
354,Surprise,
356,Happy,
357,Angry,
358,Fear,
360,Angry,
361,Angry,
362,Sad,
363,Neutral,
365,Sad,
366,Surprise,
367,Happy,
368,Neutral,
369,Fear,
370,Happy,
372,Sad,
373,Angry,
374,Neutral,
375,Neutral,
377,Surprise,
378,Sad,
379,Sad,
380,Neutral,
383,Angry,
384,Surprise,
386,Happy,
387,Happy,
393,Angry,
394,Happy,
396,Angry,
399,Happy,
400,Sad,
401,Angry,
403,Surprise,
404,Sad,
405,Happy,
408,Angry,
410,Neutral,
413,Angry,
414,Happy,
415,Happy,
416,Neutral,
417,Sad,
418,Neutral,
420,Neutral,
421,Happy,
423,Sad,
424,Angry,
426,Fear,
430,Neutral,
431,Angry,
432,Neutral,
433,Surprise,
435,Angry,
436,Angry,
437,Neutral,
438,Neutral,
442,Disgust,
443,Angry,
444,Happy,
445,Sad,
446,Fear,
447,Surprise,
448,Angry,
449,Angry,
452,Neutral,
453,Surprise,
456,Neutral,
457,Happy,
458,Happy,
459,Neutral,
460,Neutral,
461,Fear,
463,Happy,
464,Sad,
465,Angry,
466,Surprise,
467,Neutral,
470,Neutral,
471,Surprise,
472,Angry,
473,Angry,
474,Happy,
475,Surprise,
477,Happy,
478,Happy,
480,Neutral,
482,Sad,
485,Sad,
486,Sad,
488,Happy,
489,Neutral,
490,Neutral,
491,Happy,
493,Surprise,
496,Sad,
497,Happy,
498,Sad,
499,Angry,
500,Happy,
501,Fear,
503,Neutral,
505,Neutral,
506,Happy,
507,Neutral,
508,Happy,
509,Fear,
510,Sad,
512,Sad,
515,Neutral,
516,Fear,
518,Fear,
519,Happy,
520,Happy,
521,Surprise,
522,Angry,
523,Fear,
524,Sad,
527,Happy,
528,Happy,
529,Sad,
530,Fear,
532,Happy,
534,Surprise,
535,Angry,
536,Angry,
538,Fear,
539,Angry,
540,Sad,
541,Neutral,
543,Sad,
544,Sad,
545,Happy,
546,Sad,
547,Sad,
548,Sad,
549,Happy,
551,Sad,
552,Surprise,
553,Angry,
555,Sad,
556,Sad,
558,Angry,
560,Angry,
563,Angry,
564,Angry,
565,Fear,
566,Angry,
569,Angry,
570,Angry,
571,Sad,
572,Neutral,
573,Fear,
574,Fear,
576,Surprise,
581,Sad,
582,Neutral,
583,Sad,
584,Fear,
586,Sad,
587,Sad,
588,Surprise,
589,Neutral,
591,Surprise,
592,Sad,
593,Sad,
594,Disgust,
595,Happy,
596,Happy,
597,Angry,
598,Sad,
600,Disgust,
602,Angry,
603,Happy,
604,Angry,
605,Neutral,
606,Angry,
607,Angry,
608,Happy,
610,Angry,
611,Neutral,
612,Neutral,
623,Sad,
625,Sad,
626,Sad,
627,Happy,
628,Happy,
629,Sad,
631,Happy,
632,Fear,
633,Neutral,
634,Happy,
636,Happy,
637,Sad,
638,Neutral,
639,Angry,
640,Fear,
641,Angry,
643,Neutral,
644,Fear,
645,Angry,
646,Fear,
647,Happy,
648,Neutral,
650,Neutral,
653,Neutral,
654,Surprise,
655,Disgust,
656,Happy,
657,Fear,
658,Sad,
659,Sad,
661,Angry,
662,Angry,
663,Happy,
664,Angry,
665,Neutral,
666,Angry,
670,Sad,
671,Happy,
674,Happy,
676,Angry,
677,Neutral,
678,Fear,
683,Angry,
684,Surprise,
685,Angry,
686,Happy,
689,Neutral,
690,Neutral,
691,Happy,
693,Angry,
694,Happy,
695,Surprise,
696,Neutral,
699,Sad,
700,Surprise,
701,Neutral,
703,Happy,
704,Angry,
705,Sad,
706,Surprise,
707,Surprise,
708,Sad,
709,Fear,
711,Happy,
714,Neutral,
715,Happy,
716,Disgust,
718,Sad,
720,Happy,
721,Surprise,
722,Happy,
725,Happy,
726,Sad,
727,Angry,
728,Surprise,
731,Angry,
733,Sad,
734,Fear,
736,Happy,
739,Fear,
740,Neutral,
741,Neutral,
742,Happy,
743,Happy,
744,Angry,
746,Neutral,
747,Surprise,
749,Happy,
750,Happy,
751,Fear,
752,Neutral,
755,Happy,
756,Happy,
757,Happy,
759,Surprise,
760,Angry,
761,Sad,
764,Fear,
765,Angry,
767,Angry,
769,Happy,
770,Fear,
771,Angry,
772,Angry,
773,Neutral,
774,Neutral,
775,Surprise,
776,Happy,
777,Surprise,
778,Surprise,
780,Fear,
781,Sad,
783,Angry,
784,Angry,
785,Happy,
787,Angry,
788,Neutral,
789,Disgust,
790,Happy,
791,Angry,
792,Angry,
793,Surprise,
797,Angry,
799,Happy,
800,Surprise,
801,Happy,
802,Surprise,
803,Fear,
804,Sad,
805,Happy,
806,Happy,
808,Sad,
809,Neutral,
810,Sad,
813,Neutral,
814,Angry,
816,Surprise,
817,Neutral,
818,Sad,
819,Neutral,
820,Angry,
821,Neutral,
822,Angry,
825,Happy,
826,Surprise,
827,Angry,
829,Angry,
830,Neutral,
832,Surprise,
833,Happy,
836,Surprise,
837,Surprise,
838,Happy,
841,Neutral,
843,Disgust,
844,Angry,
845,Neutral,
847,Happy,
848,Happy,
849,Fear,
850,Angry,
851,Surprise,
852,Neutral,
853,Happy,
854,Happy,
856,Surprise,
857,Angry,
859,Neutral,
861,Neutral,
862,Angry,
865,Happy,
866,Surprise,
867,Happy,
868,Sad,
869,Happy,
871,Sad,
873,Happy,
875,Sad,
876,Fear,
878,Neutral,
879,Angry,
880,Angry,
882,Neutral,
885,Sad,
886,Happy,
887,Angry,
890,Neutral,
893,Fear,
895,Happy,
896,Surprise,
897,Fear,
898,Happy,
899,Disgust,
900,Neutral,
902,Fear,
903,Sad,
904,Happy,
905,Sad,
906,Happy,
907,Neutral,
911,Surprise,
912,Neutral,
913,Angry,
914,Neutral,
915,Sad,
916,Sad,
917,Happy,
919,Sad,
925,Happy,
926,Neutral,
928,Angry,
929,Angry,
930,Sad,
931,Neutral,
934,Surprise,
935,Surprise,
937,Neutral,
938,Happy,
939,Surprise,
940,Sad,
941,Surprise,
942,Neutral,
945,Neutral,
947,Neutral,
949,Angry,
950,Angry,
951,Neutral,
955,Happy,
956,Happy,
957,Angry,
960,Happy,
961,Fear,
962,Surprise,
963,Neutral,
965,Sad,
966,Angry,
967,Sad,
972,Angry,
975,Neutral,
977,Surprise,
978,Neutral,
979,Happy,
981,Surprise,
982,Sad,
983,Sad,
984,Happy,
985,Sad,
986,Fear,
987,Sad,
988,Sad,
989,Sad,
991,Surprise,
993,Neutral,
994,Angry,
995,Neutral,
996,Sad,
998,Happy,
999,Neutral,
1000,Fear,
1001,Angry,
1004,Happy,
1005,Fear,
1006,Surprise,
1007,Happy,
1009,Surprise,
1011,Fear,
1013,Happy,
1014,Sad,
1016,Angry,
1017,Neutral,
1021,Surprise,
1023,Angry,
1025,Sad,
1026,Sad,
1027,Neutral,
1028,Sad,
1030,Neutral,
1031,Surprise,
1032,Happy,
1034,Fear,
1035,Angry,
1036,Angry,
1037,Disgust,
1038,Sad,
1039,Angry,
1040,Sad,
1041,Fear,
1042,Angry,
1043,Neutral,
1044,Surprise,
1046,Neutral,
1047,Angry,
1048,Happy,
1049,Neutral,
1051,Happy,
1052,Sad,
1053,Fear,
1054,Angry,
1055,Angry,
1057,Sad,
1058,Disgust,
1059,Sad,
1060,Fear,
1063,Angry,
1064,Sad,
1065,Surprise,
1066,Happy,
1068,Happy,
1069,Fear,
1071,Sad,
1073,Happy,
1074,Happy,
1076,Happy,
1077,Fear,
1078,Angry,
1079,Fear,
1080,Angry,
1081,Sad,
1082,Neutral,
1084,Happy,
1085,Neutral,
1087,Neutral,
1088,Happy,
1089,Surprise,
1091,Neutral,
1092,Angry,
1093,Fear,
1094,Neutral,
1096,Neutral,
1097,Angry,
1098,Surprise,
1101,Neutral,
1102,Sad,
1103,Happy,
1105,Happy,
1106,Sad,
1107,Fear,
1108,Surprise,
1109,Happy,
1110,Angry,
1112,Neutral,
1114,Neutral,
1116,Angry,
1118,Angry,
1121,Angry,
1122,Happy,
1123,Happy,
1124,Sad,
1125,Angry,
1126,Sad,
1127,Angry,
1128,Neutral,
1129,Angry,
1130,Angry,
1132,Happy,
1134,Angry,
1137,Angry,
1140,Happy,
1142,Neutral,
1143,Angry,
1145,Sad,
1146,Angry,
1148,Surprise,
1149,Happy,
1153,Angry,
1154,Neutral,
1157,Happy,
1160,Happy,
1161,Sad,
1162,Angry,
1163,Surprise,
1164,Sad,
1165,Angry,
1166,Happy,
1167,Happy,
1168,Angry,
1169,Neutral,
1171,Angry,
1172,Happy,
1174,Angry,
1175,Fear,
1176,Fear,
1177,Angry,
1179,Neutral,
1180,Sad,
1181,Fear,
1183,Fear,
1184,Fear,
1186,Sad,
1187,Surprise,
1188,Angry,
1189,Sad,
1190,Fear,
1192,Neutral,
1193,Angry,
1194,Sad,
1195,Angry,
1196,Sad,
1198,Fear,
1201,Neutral,
1202,Surprise,
1205,Surprise,
1206,Neutral,
1207,Sad,
1208,Happy,
1209,Surprise,
1210,Sad,
1213,Sad,
1214,Happy,
1215,Surprise,
1216,Sad,
1217,Sad,
1219,Angry,
1220,Happy,
1221,Sad,
1223,Angry,
1224,Surprise,
1225,Fear,
1226,Happy,
1227,Sad,
1228,Angry,
1229,Happy,
1231,Sad,
1232,Fear,
1233,Happy,
1234,Happy,
1235,Sad,
1238,Happy,
1240,Angry,
1242,Happy,
1243,Sad,
1244,Angry,
1245,Surprise,
1247,Sad,
1248,Happy,
1249,Fear,
1251,Sad,
1252,Sad,
1253,Disgust,
1254,Angry,
1255,Angry,
1256,Sad,
1257,Angry,
1259,Happy,
1260,Sad,
1262,Neutral,
1263,Neutral,
1264,Fear,
1265,Fear,
1266,Fear,
1267,Happy,
1268,Sad,
1271,Fear,
1274,Neutral,
1277,Fear,
