name,gt,gpt4v
2436,Happy,"Neutral,Surprise,Fear,Sad,Angry"
2088,Happy,"Happy,Surprise,Neutral,Fear,Sad"
1388,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
2787,Happy,"Happy,Neutral,Surprise,Fear,Sad"
165,Fear,"Fear,Surprise,Sad,Disgust,Angry"
1500,Angry,"Fear,Sad,Neutral,Disgust,Angry"
521,Surprise,"Surprise,Fear,Neutral,Sad,Happy"
3070,Angry,"Neutral,Sad,Disgust,Angry,Fear"
366,Surprise,"Neutral,Happy,Surprise,Sad,Fear"
3097,Happy,"Angry,Disgust,Neutral,Sad,Fear"
598,Sad,"Neutral,Happy,Surprise,Sad,Fear"
1296,Happy,"Happy,Neutral,Surprise,Sad,Fear"
1333,Happy,"Neutral,Sad,Disgust,Angry,Fear"
1747,Sad,"Sad,Neutral,Disgust,Fear,Angry"
2168,Happy,"Happy,Neutral,Surprise,Fear,Sad"
1367,Neutral,"Neutral,Sad,Disgust,Fear,Angry"
2123,Surprise,"Fear,Surprise,Neutral,Sad,Disgust"
273,Surprise,"Neutral,Sad,Fear,Disgust,Angry"
2042,Neutral,"Angry,Disgust,Neutral,Fear,Sad"
2978,Happy,"Fear,Surprise,Disgust,Angry,Sad"
2616,Angry,"Sad,Neutral,Fear,Disgust,Angry"
2009,Angry,"Neutral,Surprise,Fear,Sad,Happy"
2889,Angry,"Angry,Disgust,Fear,Neutral,Sad"
694,Happy,"Surprise,Fear,Neutral,Sad,Disgust"
2932,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
162,Neutral,"Neutral,Angry,Disgust,Sad,Fear"
1559,Fear,"Fear,Surprise,Neutral,Sad,Disgust"
3056,Neutral,"Happy,Surprise,Neutral,Fear,Sad"
1088,Happy,"Happy,Neutral,Surprise,Fear,Sad"
3946,Surprise,"Neutral,Angry,Fear,Sad,Disgust"
1082,Neutral,"Angry,Neutral,Disgust,Fear,Sad"
1782,Surprise,"Surprise,Fear,Neutral,Happy,Sad"
3584,Surprise,"Neutral,Angry,Disgust,Fear,Sad"
1846,Surprise,"Surprise,Fear,Neutral,Happy,Sad"
191,Happy,"Surprise,Happy,Neutral,Fear,Sad"
1944,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
456,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
37,Neutral,"Neutral,Sad,Disgust,Fear,Angry"
638,Neutral,"Sad,Neutral,Disgust,Fear,Angry"
183,Fear,"Neutral,Sad,Fear,Disgust,Angry"
2732,Sad,"Neutral,Sad,Disgust,Fear,Angry"
423,Sad,"Happy,Surprise,Neutral,Fear,Sad"
2469,Angry,"Sad,Neutral,Fear,Disgust,Angry"
1592,Neutral,"Angry,Disgust,Fear,Neutral,Sad"
1671,Surprise,"Happy,Surprise,Neutral,Sad,Fear"
2160,Angry,"Neutral,Surprise,Happy,Fear,Sad"
1373,Happy,"Fear,Surprise,Neutral,Sad,Disgust"
1402,Surprise,"Neutral,Sad,Fear,Disgust,Angry"
755,Happy,"Happy,Surprise,Neutral,Fear,Sad"
252,Angry,"Angry,Disgust,Neutral,Fear,Sad"
2793,Angry,"Sad,Neutral,Disgust,Angry,Fear"
1927,Angry,"Fear,Surprise,Neutral,Sad,Angry"
2620,Angry,"Angry,Disgust,Neutral,Fear,Sad"
2061,Fear,"Surprise,Fear,Neutral,Sad,Angry"
1752,Neutral,"Sad,Neutral,Fear,Disgust,Angry"
634,Happy,"Happy,Neutral,Surprise,Fear,Sad"
2354,Fear,"Fear,Surprise,Neutral,Sad,Angry"
293,Happy,"Neutral,Sad,Fear,Disgust,Angry"
1561,Surprise,"Fear,Surprise,Neutral,Sad,Disgust"
520,Happy,"Neutral,Fear,Surprise,Sad,Disgust"
2711,Neutral,"Sad,Neutral,Fear,Disgust,Angry"
3184,Sad,"Sad,Fear,Disgust,Neutral,Angry"
3509,Neutral,"Sad,Neutral,Disgust,Fear,Angry"
3168,Neutral,"Neutral,Surprise,Fear,Sad,Disgust"
827,Angry,"Angry,Neutral,Disgust,Fear,Sad"
2439,Surprise,"Fear,Surprise,Neutral,Sad,Disgust"
4034,Surprise,"Angry,Neutral,Disgust,Fear,Sad"
2023,Angry,"Neutral,Sad,Disgust,Fear,Angry"
771,Angry,"Neutral,Sad,Fear,Disgust,Angry"
2757,Angry,"Fear,Surprise,Neutral,Sad,Disgust"
263,Surprise,"Neutral,Sad,Fear,Disgust,Angry"
2193,Happy,"Happy,Neutral,Surprise,Fear,Sad"
116,Angry,"Angry,Disgust,Neutral,Fear,Sad"
841,Neutral,"Neutral,Sad,Fear,Disgust,Angry"
85,Neutral,"Surprise,Fear,Neutral,Sad,Disgust"
1580,Fear,"Fear,Surprise,Neutral,Sad,Disgust"
2651,Sad,"Angry,Disgust,Neutral,Fear,Sad"
1063,Angry,"Neutral,Sad,Fear,Disgust,Angry"
2305,Sad,"Sad,Neutral,Disgust,Fear,Angry"
2876,Happy,"Neutral,Sad,Disgust,Fear,Angry"
3852,Surprise,"Angry,Sad,Neutral,Disgust,Fear"
324,Fear,"Sad,Neutral,Fear,Disgust,Angry"
459,Neutral,"Happy,Neutral,Surprise,Fear,Sad"
931,Neutral,"Neutral,Fear,Surprise,Sad,Disgust"
912,Neutral,"Neutral,Surprise,Fear,Sad,Disgust"
1049,Neutral,"Sad,Fear,Neutral,Disgust,Angry"
2204,Sad,"Sad,Fear,Disgust,Neutral,Angry"
576,Surprise,"Neutral,Sad,Fear,Disgust,Angry"
2285,Angry,"Sad,Neutral,Disgust,Fear,Angry"
837,Surprise,"Neutral,Sad,Fear,Disgust,Angry"
808,Sad,"Neutral,Sad,Fear,Disgust,Angry"
739,Fear,"Neutral,Sad,Fear,Disgust,Angry"
416,Neutral,"Sad,Fear,Disgust,Neutral,Angry"
1711,Neutral,"Neutral,Sad,Fear,Disgust,Angry"
898,Happy,"Neutral,Sad,Fear,Disgust,Angry"
378,Sad,"Neutral,Sad,Fear,Disgust,Angry"
1754,Sad,"Sad,Neutral,Fear,Disgust,Angry"
1908,Surprise,"Surprise,Neutral,Fear,Sad,Disgust"
404,Sad,"Sad,Neutral,Disgust,Fear,Angry"
3856,Surprise,"Angry,Disgust,Neutral,Fear,Sad"
2434,Fear,"Fear,Surprise,Neutral,Sad,Disgust"
2235,Happy,"Neutral,Sad,Fear,Disgust,Angry"
2769,Happy,"Happy,Neutral,Surprise,Fear,Sad"
1154,Neutral,"Angry,Disgust,Neutral,Fear,Sad"
401,Angry,"Neutral,Sad,Disgust,Fear,Angry"
3358,Neutral,"Neutral,Sad,Disgust,Fear,Angry"
2215,Sad,"Neutral,Sad,Disgust,Fear,Angry"
551,Sad,"Sad,Neutral,Fear,Disgust,Angry"
1305,Happy,"Happy,Surprise,Neutral,Fear,Sad"
2688,Happy,"Surprise,Fear,Neutral,Sad,Disgust"
2225,Fear,"Angry,Disgust,Neutral,Fear,Sad"
1521,Happy,"Happy,Surprise,Neutral,Sad,Fear"
3019,Happy,"Neutral,Sad,Disgust,Fear,Angry"
