name,gt,gpt4v
007_5475,Other,"Other,Contempt,Anger,Happiness,Surprise"
019_4517,Happiness,"Other,Contempt,Anger,Happiness,Surprise"
011_3253,Happiness,"Other,Contempt,Anger,Happiness,Surprise"
007_0673,Happiness,"Contempt,Other,Anger,Happiness,Surprise"
014_1221,Happiness,"Other,Contempt,Anger,Happiness,Surprise"
035035_1_1-09667,Anger,"Other,Contempt,Anger,Happiness,Surprise"
017_0116,Surprise,"Contempt,Anger,Other,Happiness,Surprise"
033_0749,Anger,"Other,Contempt,Anger,Happiness,Surprise"
011_2791,Anger,"Other,Contempt,Anger,Happiness,Surprise"
020020_1_2-02746,Other,"Other,Contempt,Anger,Happiness,Surprise"
006006_1_6-07197,Anger,"Contempt,Anger,Other,Happiness,Surprise"
035_1534,Anger,"Other,Contempt,Anger,Happiness,Surprise"
033033_1_3-05988,Happiness,"Other,Contempt,Anger,Happiness,Surprise"
011_4585,Happiness,"Other,Contempt,Anger,Happiness,Surprise"
020_3469,Contempt,"Other,Contempt,Anger,Happiness,Surprise"
007_0585,Happiness,"Other,Contempt,Anger,Happiness,Surprise"
026_2978,Anger,"Other,Contempt,Anger,Happiness,Surprise"
022_0421,Anger,"Other,Contempt,Anger,Happiness,Surprise"
007_7056,Surprise,"Other,Contempt,Anger,Happiness,Surprise"
017_0960,Other,"Contempt,Anger,Other,Surprise,Happiness"
011_4194,Anger,"Other,Contempt,Anger,Happiness,Surprise"
016016_7_1-02299,Anger,"Contempt,Other,Anger,Happiness,Surprise"
006_5282,Surprise,"Contempt,Anger,Other,Happiness,Surprise"
017_1143,Anger,"Other,Contempt,Anger,Happiness,Surprise"
034034_7_2-01612,Anger,"Other,Contempt,Anger,Happiness,Surprise"
011_3630,Contempt,"Other,Contempt,Anger,Happiness,Surprise"
032_3328,Other,"Other,Contempt,Anger,Happiness,Surprise"
035035_7_1-07819,Surprise,"Other,Contempt,Anger,Happiness,Surprise"
011_2571,Happiness,"Other,Happiness,Contempt,Surprise,Anger"
026_5603,Other,"Other,Contempt,Anger,Happiness,Surprise"
020020_1_1-02823,Other,"Contempt,Anger,Other,Happiness,Surprise"
022_0357,Happiness,"Other,Sadness,Contempt,Anger,Happiness,Surprise"
007_5943,Other,"Other,Anger,Contempt,Happiness,Surprise"
028_1367,Surprise,"Other,Happiness,Surprise,Anger,Contempt"
030030_1_1-02422,Anger,"Other,Contempt,Anger,Happiness,Surprise"
017_1489,Other,"Sadness,Other,Contempt,Anger,Happiness,Surprise"
034034_7_3-03672,Anger,"Other,Contempt,Anger,Happiness,Surprise"
035035_7_2-00855,Contempt,"Other,Contempt,Anger,Happiness,Surprise"
015_6615,Contempt,"Sadness,Other,Contempt,Anger,Happiness,Surprise"
019_0908,Other,"Other,Contempt,Anger,Happiness,Surprise"
018018_7_1-10156,Surprise,"Anger,Contempt,Other,Surprise,Happiness"
025_2873,Other,"Contempt,Other,Anger,Surprise,Happiness"
011_6771,Anger,"Other,Contempt,Anger,Surprise,Happiness"
026_4038,Other,"Other,Contempt,Anger,Surprise,Happiness"
032_0436,Anger,"Other,Contempt,Anger,Surprise,Happiness"
013013_1_12-00739,Anger,"Other,Contempt,Anger,Surprise,Happiness"
006_2190,Anger,"Anger,Contempt,Other,Surprise,Happiness"
011_1071,Contempt,"Other,Contempt,Anger,Surprise,Happiness"
014_3560,Happiness,"Other,Happiness,Surprise,Contempt,Anger"
030_1960,Anger,"Other,Contempt,Anger,Surprise,Happiness"
016016_7_8-12324,Happiness,"Other,Contempt,Anger,Surprise,Happiness"
026_3608,Anger,"Other,Contempt,Anger,Surprise,Happiness"
011_3014,Contempt,"Other,Contempt,Anger,Surprise,Happiness"
032_4930,Anger,"Other,Contempt,Anger,Surprise,Happiness"
009_1891,Anger,"Other,Surprise,Happiness,Contempt,Anger"
006006_1_4-02368,Anger,"Anger,Contempt,Other,Surprise,Happiness"
013_2135,Anger,"Other,Contempt,Anger,Surprise,Happiness"
022_0505,Anger,"Other,Contempt,Anger,Surprise,Happiness"
