name,gt,gpt4v
Saw3D_004056050_00000032.png,Angry,"Angry,Fear,Disgust,Sad,Neutral"
Elizabeth_001713280_00000010.png,Happy,"Happy,Surprise,Neutral,Fear,Sad"
Informant_002650134_00000089.png,Surprise,"Neutral,Happy,Surprise,Sad,Fear"
FriendsWithBenefit_000750480_00000053.png,Neutral,"Surprise,Happy,Neutral,Fear,Sad"
RememberMe_011000040_00000048.png,Angry,"Angry,Neutral,Disgust,Sad,Fear"
AboutABoy_002934807_00000042.png,Surprise,"Fear,Surprise,Neutral,Sad,Disgust"
Elizabeth_002441440_00000030.png,Happy,"Happy,Neutral,Surprise,Sad,Fear"
21_012224880_00000030.png,Angry,"Angry,Disgust,Neutral,Fear,Sad"
DidYouHearAboutTheMorgans_003731807_00000001.png,Fear,"Fear,Surprise,Neutral,Sad,Disgust"
SilverLiningPlayBook_004739560_00000012.png,Angry,"Angry,Disgust,Fear,Sad,Neutral"
Hangover_000446654_00000015.png,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
Hangover_001949614_00000032.png,Neutral,"Sad,Neutral,Fear,Disgust,Angry"
RememberMe_001001280_00000038.png,Happy,"Happy,Neutral,Surprise,Sad,Fear"
Aviator_011506880_00000046.png,Angry,"Angry,Disgust,Fear,Neutral,Sad"
AboutABoy_010940087_00000040.png,Disgust,"Sad,Neutral,Disgust,Fear,Angry"
FriendsWithBenefit_000316560_00000003.png,Angry,"Happy,Surprise,Neutral,Sad,Fear"
Informant_001817054_00000006.png,Neutral,"Neutral,Sad,Disgust,Angry,Fear"
AboutABoy_010318047_00000016.png,Neutral,"Neutral,Sad,Fear,Disgust,Angry"
21_001108440_00000025.png,Angry,"Happy,Neutral,Surprise,Sad,Fear"
Unstoppable_000215738_00000011.png,Neutral,"Neutral,Sad,Fear,Disgust,Angry"
Informant_002408334_00000034.png,Neutral,"Neutral,Sad,Fear,Disgust,Angry"
RememberMe_011005340_00000010.png,Sad,"Happy,Surprise,Neutral,Fear,Sad"
OrangeAndSunshine_005700400_00000023.png,Sad,"Sad,Neutral,Disgust,Angry,Fear"
Saw3D_010904207_00000018.png,Sad,"Sad,Fear,Disgust,Neutral,Angry"
AboutABoy_005013327_00000001.png,Surprise,"Neutral,Angry,Disgust,Sad,Fear"
21_014735000_00000001.png,Fear,"Disgust,Angry,Sad,Neutral,Fear"
21_005817960_00000025.png,Happy,"Happy,Surprise,Neutral,Sad,Fear"
SilverLiningPlayBook_001748200_00000032.png,Happy,"Happy,Neutral,Surprise,Sad,Fear"
AboutABoy_011959447_00000037.png,Sad,"Surprise,Happy,Neutral,Fear,Sad"
RememberMe_011000040_00000025.png,Angry,"Angry,Disgust,Neutral,Sad,Fear"
Unstoppable_004509838_00000039.png,Neutral,"Neutral,Fear,Sad,Disgust,Angry"
Saw3D_010854607_00000038.png,Sad,"Sad,Fear,Disgust,Neutral,Angry"
Hangover_011411334_00000025.png,Surprise,"Surprise,Fear,Neutral,Happy,Sad"
Informant_001016054_00000007.png,Neutral,"Neutral,Angry,Disgust,Sad,Fear"
AboutABoy_012455047_00000002.png,Angry,"Angry,Disgust,Neutral,Sad,Fear"
ExtremelyLoudIncrediblyClose_004556200_00000053.png,Angry,"Happy,Surprise,Neutral,Sad,Fear"
Informant_003641614_00000034.png,Fear,"Neutral,Sad,Disgust,Fear,Angry"
ChangeUp_001653480_00000049.png,Surprise,"Surprise,Fear,Neutral,Sad,Happy"
Hangover_003943094_00000006.png,Neutral,"Neutral,Sad,Fear,Disgust,Angry"
AboutABoy_004957047_00000067.png,Sad,"Neutral,Sad,Disgust,Fear,Angry"
PrettyInPink_001802800_00000062.png,Neutral,"Neutral,Happy,Surprise,Sad,Fear"
21_001703120_00000016.png,Happy,"Happy,Neutral,Surprise,Sad,Fear"
Hangover_000738334_00000006.png,Angry,"Neutral,Happy,Sad,Surprise,Angry"
