name,gt,gpt4v
3pxmDzV1JR,Angry,
cTyavWcbhs,Angry,
G1OettEEnV,Angry,
P2saJ7ycNp,Angry,
s3WFlWVg5Q,Angry,
HXoVcQUr9c,Angry,
Sb21UkEqX1,Angry,
wX8aGA2UHA,Angry,
TvXblvcSdl,Angry,
7hBI04zN4u,Angry,
G0zo9lKW1S,Angry,
ebtmZSp0X6,Disgust,
uaZayheGr6,Disgust,
O6Sw2GUqTZ,Disgust,
gPTkX6ZmIg,Disgust,
1torYvElUB,Disgust,
Vq5IAV4iKU,Disgust,
7HpUqiflds,Disgust,
X3J5GiqotX,Disgust,
sP8ubpYemF,Fear,
gzkHtKil2L,Fear,
zCMrp68WD7,Fear,
Ttekhghahq,Fear,
7Qtlv7IapQ,Fear,
JcgqoE8Rps,Fear,
manQjpB1vw,Fear,
zO4d3wCjzx,Happy,
tjFOmllCmM,Happy,
vJNn1WUdY7,Happy,
ywDmghmTnB,Happy,
Jge2vWRtns,Happy,
lzZiF4MCNX,Happy,
5tEuzMv7v5,Happy,
StYNYy72eR,Happy,
dBu21bVyWK,Happy,
DWgTfHBJ8i,Happy,
eob5fYybAC,Happy,
3kIOIXN3RR,Happy,
0ZS4gBfLJx,Happy,
JfrtqBgGrI,Happy,
HCcnXI1ly7,Happy,
yQg2lC0y6n,Happy,
oSYe2lC8AS,Happy,
tzjPoDJecT,Happy,
DKT1HyQJfs,Happy,
gyXb4SL0jL,Happy,
f67pbpiHMr,Happy,
wEzkL8x9pY,Happy,
ZWAKGN2cu6,Happy,
ryjz9otyyn,Happy,
zkgplogUo7,Happy,
RA96IN2qMA,Happy,
mqB85p9HUg,Happy,
mbR2xsPFkk,Happy,
UYKd6gP1AP,Happy,
WjroTVR2xS,Happy,
hcGEweKF7x,Happy,
Gvg7Frg0pT,Happy,
IOWaACnOv8,Happy,
P1ba4ZUH5r,Happy,
AXIxY4Np6P,Happy,
4HvMMgKn6H,Happy,
P5O2HxMCG8,Happy,
Wp1nlI6q2X,Happy,
cxiY76S4cJ,Happy,
TCCmU6IFEL,Happy,
fRZGAqntSN,Happy,
1XAcIwcTIF,Happy,
fC7QgFjCwh,Happy,
EnJEE0XAdQ,Happy,
PfyDCxK4hc,Happy,
7mIeWkESeF,Happy,
7LDbrngSkq,Happy,
YrwvRSBhZ8,Happy,
2CHcKQKmaC,Happy,
5ndc2VFpEm,Happy,
iBh9LnKJ8V,Happy,
XDWPDlGLLt,Happy,
DF2u5G8FW9,Happy,
eNo2d7qlWb,Happy,
ZdUFSg1nSs,Happy,
hKieO3kmEb,Happy,
Oim3j9Bcef,Happy,
ctajxHslhE,Happy,
AiHOPND4OK,Happy,
fTiGKIEoEz,Happy,
SfUDswoJiK,Happy,
nDnrASmH3x,Happy,
8lIcqcjGLd,Happy,
sqcezI9AaT,Happy,
9Ry2pg6zBu,Happy,
OXvVgaOEjS,Happy,
qxixSA6SzS,Happy,
WdhWOmczzc,Happy,
tA5xhkOlBX,Happy,
RABjv1G9zG,Happy,
CwCWDpITQX,Neutral,
oP1eyAxas9,Neutral,
LyudHCOXPe,Neutral,
fSimxONGfz,Neutral,
DWwtq7PPD1,Neutral,
61CibCimQe,Neutral,
EAdXz3R3pA,Neutral,
G3sEAlHCCh,Neutral,
DZKeYFCYql,Neutral,
r6ULHK8AY0,Neutral,
uaW999uYNR,Neutral,
nx2EojCvoJ,Neutral,
g49kjz43PW,Neutral,
6v41ZWdGeD,Neutral,
Sq8E4xl0cd,Neutral,
5CGZLHCOyM,Neutral,
NPj5ySiRDS,Neutral,
SzCWkUnket,Neutral,
RSJfBVMX7K,Neutral,
0X5428OPRl,Neutral,
JqmwJrSMwk,Neutral,
7z0bSkRCMe,Neutral,
RDyZwjFZV9,Neutral,
YEwsCDYOVb,Neutral,
mMWZgPSU8f,Neutral,
Ghe8EoYwjs,Neutral,
IGHLiRaVtV,Neutral,
XSiSUajvSg,Neutral,
pMhXPfAHcV,Neutral,
6njdb0nOKD,Neutral,
xmprib5Txn,Neutral,
L3UV2eEw2v,Neutral,
GpvASAfrMv,Neutral,
L7JngTll8o,Neutral,
c8gc5x8edy,Neutral,
XLkX4Dmzjk,Neutral,
SAgk63XZgj,Neutral,
O0NMdE50St,Neutral,
2hHlCB7Afz,Neutral,
2QMKyEUvaJ,Neutral,
eWXCYKx0BW,Neutral,
kLYvQ3K4vZ,Sad,
PCRYUYtb6Z,Sad,
McuMkFlMkx,Sad,
weZ4qe3tZT,Sad,
23ge7SiO4K,Sad,
FqqBO6t9IW,Sad,
tZLXr458LO,Sad,
BsmqX0QnhQ,Sad,
RMZT2uTimk,Sad,
NBdo1DvbMF,Sad,
CEMzld50rf,Sad,
Gl43pS3axI,Sad,
bf9IgdVklC,Sad,
EOEirErwAb,Sad,
BHQrwCHV9S,Surprise,
4EKBMDeIoF,Surprise,
zI2bSBX5GV,Surprise,
hMnxcbsc35,Surprise,
K8NeYbngg9,Surprise,
0eOGrTQn55,Surprise,
y9SXHsJHaw,Surprise,
wuS9OAwFxH,Surprise,
pjNuWFVDva,Surprise,
CHrfUElFQD,Surprise,
deftOyQWYu,Surprise,
recmdWJ1tn,Surprise,
Ouhh2Dagqv,Surprise,
72BOxYthoJ,Angry,
OHxHKDfvdG,Angry,
E2QDHseYL4,Angry,
c4rV5JPOg6,Angry,
FVIrXEEhtA,Angry,
GKjGLbwIvC,Angry,
ktwLFp3YOt,Angry,
JagiZuc4jf,Angry,
2pT5mWFn9v,Angry,
u7pEkPNvJJ,Angry,
t4jnrkr05M,Angry,
D4aRrygN8C,Angry,
qzbD1rHctt,Angry,
0YrzuVGtyU,Angry,
rvNwvIXQzB,Angry,
z8a1RdMC9V,Angry,
Gda0HyMsQR,Angry,
qEcgNem1DH,Angry,
YN7VEIGCou,Angry,
9Ao2Zw8EoH,Angry,
jaselLoWoe,Angry,
PsjSRmxqC2,Angry,
mETNlqKtz5,Angry,
eQs5oQSCHJ,Angry,
KPIpnzk4Qr,Angry,
fQD0o2nTrk,Angry,
k27Pck6w6Q,Angry,
xBYisPYrFQ,Angry,
aZgN1sMBst,Angry,
tL5XKfSVJf,Angry,
mecpwI9gfH,Angry,
h00WXeg3AB,Angry,
hI1mZ7TQsW,Angry,
TFdOU96Fsl,Angry,
lgkqjea7AF,Angry,
M5ZOlkN6aQ,Angry,
rijpAgyFlh,Angry,
p1ytmNfttb,Angry,
1TTbeAJOwu,Angry,
ywgojmPXwa,Angry,
W1adOO4lpG,Angry,
kYf69xsBoq,Angry,
BiPOlFvKcv,Angry,
mNdYlBDIjQ,Angry,
RcvRy9Rscz,Angry,
yOQG046QNo,Angry,
wk74ksFrMy,Angry,
yuxeE3mHwW,Angry,
5jTwyQd53p,Angry,
hdcYanC5tW,Angry,
FD6tJkMkNu,Angry,
e96DIWnOW6,Angry,
bG77yBhUOh,Angry,
Sxcpa2n7vy,Angry,
BOPCZL7xtM,Angry,
cXWAVNAtbm,Angry,
w7IG2ZcTRZ,Angry,
DZc2dIFago,Angry,
udC5uB0vTm,Angry,
jiVYV0ok21,Angry,
5NH3vUJyE7,Angry,
lN6Q3PrZ48,Angry,
qFULeVlzRF,Angry,
373og5WoMQ,Angry,
R0ZQeoWOq6,Angry,
xZiz3kYNdQ,Angry,
0rRTVxECNg,Angry,
efbvr9sUvd,Angry,
to0B6ynm2n,Angry,
aMOtdMF8Gf,Angry,
bhe7xQ8Xab,Angry,
7qzJvqRWJs,Angry,
1NXtqZdccL,Angry,
nZU7AQn9mY,Angry,
cbmpJLnJdj,Angry,
Toq8TPhWdt,Angry,
R2A52jLbaI,Angry,
LiBdSEPPbJ,Angry,
LCryEDU0DU,Angry,
vvJfltIv6A,Angry,
KSwOfzXJyw,Angry,
3ScyaRWLab,Angry,
6TUirZh5b4,Angry,
EEi4kUDZst,Angry,
an2Lstj4tE,Angry,
n9hXTy4DUo,Angry,
Xy6FlXlzoT,Angry,
Z8kXBc1VCE,Angry,
Gm0xjqhmIf,Angry,
E4Q2ewZmJi,Angry,
Jz3vimQhNT,Angry,
VHp2bFx7Xx,Angry,
7f4ZAlJSId,Angry,
QgBK2q0Jv5,Angry,
oK9cpqqyF5,Angry,
iprAaj6hwU,Angry,
s8yMhZoVpf,Angry,
82PeJuYZtb,Angry,
lgqxShQPwN,Angry,
lnT0BEhbXl,Angry,
5IpAhzJGhC,Angry,
OvTRCtgokf,Angry,
X0mbAfV7Hx,Angry,
jgJgilCGJf,Angry,
fxdskgVJhp,Angry,
6inYPvTrQM,Angry,
yeOI8EE4oH,Angry,
hi0YgWRFnC,Angry,
uPUS0exPKT,Angry,
pzGLCG78jN,Angry,
Zdp66834Q4,Angry,
o2UY8pryv6,Angry,
4Qbqry9p6T,Angry,
NqEC9otzTy,Angry,
qko7iUBqR1,Angry,
TvDRXQd9Tc,Angry,
pofI4ylQoG,Angry,
q6CJ3t1yTT,Angry,
lAzlyNoZvT,Angry,
NDzfGzaDK5,Angry,
hbmH1z7jxn,Angry,
Uokpr3u7Ro,Angry,
WjxK9qwyyG,Angry,
4SitfzulGg,Angry,
ZhogslLtUo,Angry,
3hryHkjOyk,Angry,
jn6ShYwoHC,Angry,
j83NEiKRGx,Angry,
hatnVe4K53,Angry,
dUINt0LF3r,Angry,
jOGu8bd7fn,Angry,
oVaChps1hv,Angry,
W7gxtYdHcs,Angry,
1eFJKGmahe,Angry,
Hbt7vfudoZ,Angry,
TmPReVRJaB,Angry,
Wtg3D7ygki,Angry,
AoKnP32XTq,Angry,
RSIVfdLrYB,Angry,
eBiIL4dvcM,Angry,
z0FNTCNeqb,Angry,
pYMStJOhNz,Angry,
GDt8gvlr24,Angry,
2JTKAGiqnJ,Angry,
5jvG5808qu,Angry,
0jds0EUY7h,Angry,
hNEZIzYjKY,Angry,
rE76vxW9P7,Disgust,
cb9Z0lRjgq,Disgust,
LSgQvy4D38,Disgust,
z7yavYiI9i,Disgust,
OSvX6zzFJk,Disgust,
tYrtztuVCI,Disgust,
DRuTO7gs8a,Disgust,
Qvu00UnP0T,Disgust,
DE9d1HQXGi,Disgust,
BjfrXNyRk0,Disgust,
odHltGb34H,Disgust,
OePCqt1G6m,Disgust,
3V2I5qHiWX,Disgust,
6x2vZO79qp,Disgust,
8s13yS3zmv,Disgust,
ZeFUiTnYLn,Disgust,
ru3Vsrp9WP,Disgust,
B138PZtRtO,Disgust,
GPcVEWD2d2,Disgust,
Gzh3dRQ8Kq,Fear,
1WN5gr7qO4,Fear,
2uD9eEs8yG,Fear,
E4r3zcHpWP,Fear,
2GdxXfyxcG,Fear,
yTY4ScZeQ7,Fear,
ZOxIgcm3Mt,Fear,
yzl8PIkWJY,Fear,
7oupToPUwm,Fear,
