name,gt,gpt4v
tStelxIAHjw_7,1.4,"neutral,weakly negative,weakly positive,negative,positive"
vyB00TXsimI_16,0.4,"neutral,weakly positive,positive,weakly negative,negative"
tIrG4oNLFzE_2,2.4,"positive,weakly positive,neutral,weakly negative,negative"
lXPQBPVc5Cw_26,-2.8,"neutral,weakly negative,negative,weakly positive,positive"
cXypl4FnoZo_16,-0.6,"neutral,weakly positive,positive,weakly negative,negative"
wMbj6ajWbic_24,1.4,"neutral,weakly negative,negative,weakly positive,positive"
iiK8YX8oH1E_5,-0.4,"neutral,weakly positive,positive,weakly negative,negative"
vvZ4IcEtiZc_4,2.2,"neutral,weakly positive,positive,weakly negative,negative"
pLTX3ipuDJI_6,-1.4,"neutral,weakly negative,weakly positive,negative,positive"
cM3Yna7AavY_6,2.8,"positive,weakly positive,neutral,weakly negative,negative"
vyB00TXsimI_1,0.0,"neutral,weakly positive,weakly negative,positive,negative"
cXypl4FnoZo_22,0.2,"neutral,weakly negative,weakly positive,negative,positive"
cXypl4FnoZo_12,2.0,"neutral,weakly negative,weakly positive,negative,positive"
nzpVDcQ0ywM_6,-1.4,"neutral,weakly positive,weakly negative,positive,negative"
lXPQBPVc5Cw_21,1.8,"neutral,weakly negative,weakly positive,negative,positive"
pLTX3ipuDJI_16,-1.6,"neutral,weakly negative,weakly positive,negative,positive"
iiK8YX8oH1E_3,-1.25,"neutral,weakly positive,positive,weakly negative,negative"
tIrG4oNLFzE_13,-2.0,"positive,weakly positive,neutral,weakly negative,negative"
tStelxIAHjw_14,-1.8,"neutral,weakly negative,negative,weakly positive,positive"
d6hH302o4v8_22,-1.0,"neutral,weakly negative,negative,weakly positive,positive"
d3_k5Xpfmik_12,2.0,"neutral,weakly negative,negative,weakly positive,positive"
lXPQBPVc5Cw_8,2.6,"neutral,weakly negative,negative,weakly positive,positive"
c7UH_rxdZv4_14,1.2,"neutral,weakly negative,negative,weakly positive,positive"
k5Y_838nuGo_9,1.8,"neutral,weakly negative,negative,weakly positive,positive"
tStelxIAHjw_3,0.5,"neutral,weakly positive,positive,weakly negative,negative"
rnaNMUZpvvg_6,-2.6,"neutral,weakly negative,negative,weakly positive,positive"
nzpVDcQ0ywM_1,0.0,"weakly positive,positive,neutral,weakly negative,negative"
c7UH_rxdZv4_4,1.6,"neutral,weakly positive,positive,weakly negative,negative"
wMbj6ajWbic_27,0.0,"neutral,weakly negative,negative,weakly positive,positive"
ob23OKe5a9Q_7,0.6,"neutral,weakly positive,positive,weakly negative,negative"
vyB00TXsimI_22,0.6,"neutral,weakly negative,negative,weakly positive,positive"
f9O3YtZ2VfI_20,-0.4,"neutral,weakly negative,negative,weakly positive,positive"
f9O3YtZ2VfI_30,-1.0,"neutral,weakly negative,weakly positive,negative,positive"
nzpVDcQ0ywM_11,0.0,"positive,weakly positive,neutral,weakly negative,negative"
phBUpBr1hSo_4,-0.8,"positive,weakly positive,neutral,weakly negative,negative"
yDtzw_Y-7RU_15,0.6,"neutral,weakly negative,weakly positive,negative,positive"
fvVhgmXxadc_11,-0.2,"negative,weakly negative,neutral,weakly positive,positive"
etzxEpPuc6I_7,-1.2,"neutral,weakly positive,positive,weakly negative,negative"
f_pcplsH_V0_8,0.8,"neutral,weakly positive,positive,weakly negative,negative"
c7UH_rxdZv4_6,-2.6,"neutral,weakly positive,positive,weakly negative,negative"
d6hH302o4v8_4,-1.6,"neutral,weakly negative,weakly positive,negative,positive"
yDtzw_Y-7RU_5,0.5,"neutral,weakly positive,positive,weakly negative,negative"
lXPQBPVc5Cw_30,-2.0,"positive,weakly positive,neutral,weakly negative,negative"
fvVhgmXxadc_10,0.0,"negative,weakly negative,neutral,weakly positive,positive"
ob23OKe5a9Q_14,0.8,"negative,weakly negative,neutral,weakly positive,positive"
wMbj6ajWbic_6,1.8,"positive,weakly positive,neutral,weakly negative,negative"
nbWiPyCm4g0_1,1.2,"neutral,weakly positive,positive,weakly negative,negative"
zhpQhgha_KU_20,-1.4,"neutral,weakly negative,weakly positive,negative,positive"
v0zCBqDeKcE_16,0.0,"positive,weakly positive,neutral,weakly negative,negative"
f9O3YtZ2VfI_25,-1.4,"neutral,weakly negative,negative,weakly positive,positive"
wMbj6ajWbic_23,1.8,"neutral,weakly negative,negative,weakly positive,positive"
k5Y_838nuGo_10,2.0,"neutral,weakly negative,negative,weakly positive,positive"
ob23OKe5a9Q_9,-1.4,"weakly negative,negative,neutral,weakly positive,positive"
wMbj6ajWbic_22,1.4,"neutral,weakly positive,positive,weakly negative,negative"
etzxEpPuc6I_6,0.4,"neutral,weakly positive,positive,weakly negative,negative"
v0zCBqDeKcE_11,1.6,"positive,weakly positive,neutral,weakly negative,negative"
yDtzw_Y-7RU_4,-1.0,"neutral,weakly negative,weakly positive,negative,positive"
tmZoasNr4rU_9,-0.6,"negative,weakly negative,neutral,weakly positive,positive"
yvsjCA6Y5Fc_10,-2.0,"negative,weakly negative,neutral,weakly positive,positive"
nbWiPyCm4g0_7,-1.2,"neutral,weakly negative,weakly positive,negative,positive"
zhpQhgha_KU_21,0.6,"neutral,weakly positive,weakly negative,positive,negative"
nzpVDcQ0ywM_23,2.0,"weakly positive,positive,neutral,weakly negative,negative"
pLTX3ipuDJI_13,-1.4,"neutral,weakly negative,weakly positive,negative,positive"
v0zCBqDeKcE_5,2.0,"neutral,weakly negative,weakly positive,negative,positive"
d6hH302o4v8_28,-1.0,"neutral,weakly negative,weakly positive,negative,positive"
d6hH302o4v8_40,-1.0,"neutral,weakly negative,weakly positive,negative,positive"
f_pcplsH_V0_11,-0.4,"positive,weakly positive,neutral,weakly negative,negative"
iiK8YX8oH1E_15,0.6,"neutral,weakly negative,weakly positive,negative,positive"
f9O3YtZ2VfI_18,-1.0,"negative,weakly negative,neutral,weakly positive,positive"
tmZoasNr4rU_7,-1.0,"positive,weakly positive,neutral,weakly negative,negative"
wMbj6ajWbic_8,-0.2,"positive,weakly positive,neutral,weakly negative,negative"
etzxEpPuc6I_2,1.2,"positive,weakly positive,neutral,weakly negative,negative"
zhpQhgha_KU_5,-2.2,"neutral,weakly positive,weakly negative,positive,negative"
f_pcplsH_V0_5,1.2,"neutral,weakly negative,weakly positive,negative,positive"
wMbj6ajWbic_5,0.2,"positive,weakly positive,neutral,weakly negative,negative"
f9O3YtZ2VfI_5,-1.8,"neutral,weakly positive,positive,weakly negative,negative"
c7UH_rxdZv4_18,-2.25,"neutral,weakly negative,weakly positive,negative,positive"
lXPQBPVc5Cw_19,-1.8,"weakly negative,negative,neutral,weakly positive,positive"
zhpQhgha_KU_29,-1.2,"neutral,weakly positive,positive,weakly negative,negative"
tStelxIAHjw_15,0.4,"weakly positive,positive,neutral,weakly negative,negative"
pLTX3ipuDJI_10,-1.6,"neutral,weakly positive,positive,weakly negative,negative"
tStelxIAHjw_16,0.8,"neutral,weakly positive,positive,weakly negative,negative"
phBUpBr1hSo_21,0.8,"neutral,weakly negative,negative,weakly positive,positive"
nzpVDcQ0ywM_13,-1.0,"weakly negative,neutral,negative,weakly positive,positive"
cM3Yna7AavY_8,-0.6,"neutral,weakly negative,negative,weakly positive,positive"
d3_k5Xpfmik_2,0.0,"neutral,weakly positive,positive,weakly negative,negative"
rnaNMUZpvvg_21,-2.6,"neutral,weakly negative,negative,weakly positive,positive"
cW1FSBF59ik_17,2.4,"neutral,weakly positive,positive,weakly negative,negative"
nbWiPyCm4g0_5,-1.4,"neutral,weakly negative,weakly positive,negative,positive"
cM3Yna7AavY_3,1.0,"positive,weakly positive,neutral,weakly negative,negative"
f9O3YtZ2VfI_15,-1.2,"neutral,weakly negative,weakly positive,negative,positive"
d6hH302o4v8_19,-2.8,"neutral,weakly positive,weakly negative,positive,negative"
