name,gt,gpt4v
test_0736.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_2839.jpg,Neutral,"Neutral,Anger,Sadness,Disgust,Fear"
test_0830.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Disgust"
test_2318.jpg,Disgust,"Surprise,Fear,Happiness,Disgust,Anger"
test_1242.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Disgust"
test_1338.jpg,Surprise,"Surprise,Fear,Neutral,Happiness,Disgust"
test_0787.jpg,Happiness,"Happiness,Neutral,Surprise,Disgust,Fear"
test_0955.jpg,Happiness,"Happiness,Neutral,Surprise,Disgust,Fear"
test_0028.jpg,Happiness,"Happiness,Surprise,Neutral,Disgust,Fear"
test_2225.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_2563.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_0275.jpg,Happiness,"Happiness,Surprise,Neutral,Disgust,Fear"
test_3055.jpg,Neutral,"Sadness,Neutral,Disgust,Fear,Anger"
test_1441.jpg,Sadness,"Sadness,Fear,Disgust,Neutral,Anger"
test_0691.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_2924.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_0424.jpg,Anger,"Anger,Disgust,Neutral,Fear,Sadness"
test_0240.jpg,Sadness,"Sadness,Fear,Disgust,Neutral,Anger"
test_1164.jpg,Happiness,"Happiness,Neutral,Surprise,Disgust,Fear"
test_2000.jpg,Anger,"Anger,Disgust,Fear,Neutral,Sadness"
test_0912.jpg,Surprise,"Surprise,Fear,Neutral,Disgust,Happiness"
test_2724.jpg,Neutral,"Neutral,Sadness,Surprise,Fear,Happiness"
test_0741.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_1454.jpg,Sadness,"Disgust,Sadness,Neutral,Fear,Surprise"
test_0700.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Sadness"
test_0994.jpg,Surprise,"Surprise,Fear,Neutral,Sadness,Disgust"
test_2611.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Surprise"
test_0126.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0704.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_2484.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Surprise"
test_2596.jpg,Neutral,"Sadness,Neutral,Disgust,Fear,Surprise"
test_2849.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Surprise"
test_0006.jpg,Sadness,"Sadness,Neutral,Fear,Disgust,Surprise"
test_2168.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_1358.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_2591.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Surprise"
test_1703.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_1753.jpg,Sadness,"Sadness,Fear,Disgust,Neutral,Surprise"
test_0570.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0114.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0750.jpg,Happiness,"Neutral,Happiness,Surprise,Anger,Sadness"
test_2606.jpg,Neutral,"Neutral,Surprise,Fear,Happiness,Sadness"
test_2671.jpg,Neutral,"Neutral,Sadness,Disgust,Anger,Fear"
test_0168.jpg,Surprise,"Surprise,Fear,Neutral,Happiness,Sadness"
test_1526.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0945.jpg,Happiness,"Neutral,Disgust,Sadness,Fear,Anger"
test_0607.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_0292.jpg,Happiness,"Surprise,Neutral,Happiness,Fear,Sadness"
test_0602.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_2344.jpg,Disgust,"Disgust,Sadness,Neutral,Anger,Fear"
test_2067.jpg,Surprise,"Surprise,Neutral,Fear,Happiness,Sadness"
test_0008.jpg,Surprise,"Surprise,Happiness,Neutral,Fear,Sadness"
test_0124.jpg,Happiness,"Neutral,Surprise,Fear,Happiness,Sadness"
test_1718.jpg,Happiness,"Neutral,Happiness,Surprise,Sadness,Fear"
test_2009.jpg,Happiness,"Neutral,Sadness,Happiness,Surprise,Fear"
test_1380.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0571.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_1382.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_1410.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_2417.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_0746.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Sadness"
test_2737.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_2169.jpg,Sadness,"Sadness,Neutral,Disgust,Anger,Fear"
test_2636.jpg,Neutral,"Neutral,Sadness,Disgust,Anger,Fear"
test_3065.jpg,Neutral,"Neutral,Sadness,Disgust,Anger,Fear"
test_0386.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0409.jpg,Surprise,"Surprise,Fear,Neutral,Sadness,Disgust"
test_1076.jpg,Sadness,"Sadness,Disgust,Fear,Neutral,Anger"
test_1180.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0703.jpg,Happiness,"Happiness,Surprise,Neutral,Sadness,Fear"
test_1704.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_2758.jpg,Neutral,"Neutral,Sadness,Fear,Disgust,Anger"
test_2620.jpg,Neutral,"Neutral,Sadness,Disgust,Anger,Fear"
test_1492.jpg,Sadness,"Sadness,Fear,Disgust,Neutral,Anger"
test_1637.jpg,Sadness,"Sadness,Neutral,Disgust,Anger,Fear"
test_2158.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_0456.jpg,Happiness,"Neutral,Sadness,Disgust,Fear,Anger"
test_2811.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_1032.jpg,Surprise,"Surprise,Disgust,Happiness,Neutral,Fear"
test_0420.jpg,Disgust,"Neutral,Sadness,Disgust,Anger,Fear"
test_2074.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Sadness"
test_1965.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_2987.jpg,Neutral,"Neutral,Sadness,Fear,Disgust,Anger"
test_2920.jpg,Neutral,"Neutral,Anger,Disgust,Fear,Sadness"
test_2841.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_1065.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_1517.jpg,Sadness,"Sadness,Fear,Disgust,Anger,Neutral"
test_2248.jpg,Fear,"Happiness,Surprise,Fear,Neutral,Sadness"
test_1447.jpg,Sadness,"Anger,Sadness,Fear,Disgust,Neutral"
test_3050.jpg,Neutral,"Neutral,Fear,Sadness,Disgust,Anger"
test_2587.jpg,Neutral,"Fear,Surprise,Neutral,Sadness,Disgust"
test_2702.jpg,Neutral,"Neutral,Surprise,Happiness,Fear,Sadness"
test_0463.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Sadness"
test_0072.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_1616.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_0715.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_1806.jpg,Sadness,"Sadness,Disgust,Fear,Anger,Neutral"
test_2162.jpg,Happiness,"Neutral,Sadness,Fear,Disgust,Anger"
test_1619.jpg,Sadness,"Fear,Sadness,Neutral,Disgust,Anger"
test_1496.jpg,Anger,"Anger,Disgust,Fear,Neutral,Sadness"
test_1857.jpg,Sadness,"Sadness,Fear,Surprise,Disgust,Anger"
test_0157.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Disgust"
test_0573.jpg,Happiness,"Neutral,Happiness,Surprise,Sadness,Disgust"
test_1751.jpg,Anger,"Anger,Disgust,Fear,Surprise,Neutral"
test_0241.jpg,Surprise,"Surprise,Fear,Neutral,Happiness,Sadness"
test_1544.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Disgust"
test_0455.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0720.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0501.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_2592.jpg,Neutral,"Neutral,Surprise,Fear,Sadness,Happiness"
test_0222.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Sadness"
test_1127.jpg,Anger,"Anger,Disgust,Neutral,Sadness,Fear"
test_1582.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Sadness"
test_0188.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Sadness"
test_1240.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_1851.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_1281.jpg,Anger,"Anger,Disgust,Fear,Sadness,Neutral"
test_1579.jpg,Happiness,"Neutral,Happiness,Surprise,Sadness,Fear"
test_2829.jpg,Neutral,"Sadness,Neutral,Disgust,Fear,Anger"
test_0686.jpg,Surprise,"Surprise,Fear,Neutral,Sadness,Happiness"
test_1034.jpg,Surprise,"Surprise,Fear,Neutral,Sadness,Disgust"
test_2642.jpg,Neutral,"Sadness,Neutral,Fear,Disgust,Anger"
test_1089.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_0930.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_2240.jpg,Fear,"Happiness,Surprise,Neutral,Fear,Sadness"
test_1730.jpg,Sadness,"Sadness,Neutral,Fear,Disgust,Anger"
test_0154.jpg,Happiness,"Happiness,Surprise,Neutral,Sadness,Fear"
test_0819.jpg,Surprise,"Happiness,Surprise,Neutral,Fear,Disgust"
test_2558.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_0849.jpg,Happiness,"Happiness,Neutral,Surprise,Fear,Sadness"
test_0229.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_2875.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_2787.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_2981.jpg,Neutral,"Neutral,Sadness,Fear,Disgust,Anger"
test_0030.jpg,Sadness,"Sadness,Neutral,Fear,Disgust,Anger"
test_2539.jpg,Neutral,"Neutral,Sadness,Fear,Disgust,Anger"
test_0871.jpg,Happiness,"Neutral,Happiness,Surprise,Sadness,Fear"
test_2474.jpg,Neutral,"Neutral,Sadness,Disgust,Fear,Anger"
test_1208.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_0324.jpg,Happiness,"Neutral,Surprise,Fear,Sadness,Disgust"
test_0661.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_1095.jpg,Sadness,"Neutral,Sadness,Fear,Disgust,Anger"
test_2602.jpg,Neutral,"Neutral,Happiness,Sadness,Surprise,Fear"
test_1449.jpg,Sadness,"Disgust,Anger,Fear,Sadness,Neutral"
test_2597.jpg,Neutral,"Neutral,Anger,Disgust,Sadness,Fear"
test_1698.jpg,Sadness,"Sadness,Fear,Disgust,Neutral,Anger"
test_2984.jpg,Neutral,"Neutral,Anger,Disgust,Sadness,Fear"
test_1021.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0988.jpg,Sadness,"Sadness,Neutral,Disgust,Fear,Anger"
test_3059.jpg,Neutral,"Neutral,Sadness,Surprise,Fear,Disgust"
test_0738.jpg,Sadness,"Sadness,Fear,Disgust,Anger,Neutral"
test_1353.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_1584.jpg,Sadness,"Sadness,Fear,Neutral,Disgust,Anger"
test_2579.jpg,Neutral,"Neutral,Sadness,Happiness,Disgust,Fear"
test_0474.jpg,Happiness,"Happiness,Surprise,Neutral,Fear,Sadness"
test_1297.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0166.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_0803.jpg,Happiness,"Happiness,Neutral,Surprise,Sadness,Fear"
test_2069.jpg,Surprise,"Surprise,Fear,Neutral,Happiness,Sadness"
test_0146.jpg,Disgust,"Neutral,Sadness,Disgust,Fear,Anger"
