name,gt,gpt4v
NaeTg2bC6v,amusement,
mOumSfTXUQ,amusement,
YYSSrenL24,amusement,
k0khlyWSVx,amusement,
nKjIfvxStg,amusement,
NBdp5RiWxz,amusement,
kiYfWbaRYf,amusement,
JfuwMluiAC,amusement,
wGQCRdriU2,amusement,
s07CPCniKR,amusement,
sJB7du03HS,amusement,
GgH4pwaGR4,amusement,
69LHRjdJv4,amusement,
F9JbzBATcC,amusement,
4aSK982hX8,amusement,
EwDG21gDXT,amusement,
XxcJJYBKXi,amusement,
aE2ypHI5ZA,amusement,
Ejq1hmDxAZ,amusement,
XGhWnp7IV7,amusement,
uG0xzrNnCr,amusement,
muiDg32Lt1,amusement,
agTzwT7eYN,amusement,
pM4KNUpeNS,amusement,
8KDlIMJBPb,amusement,
1h6H01kJIf,amusement,
BdOBoUIeHj,amusement,
UvdpBJ2fGz,amusement,
tAUM31rEO4,amusement,
PI2c8apB6H,amusement,
xngLqQ7kdj,amusement,
tszUSCySCF,amusement,
T7lqXN3joS,amusement,
3avv3uck9b,amusement,
fqjmVjuZVc,amusement,
xYNbzVk4PU,amusement,
6eGh5luPbD,amusement,
tDnphnobZW,amusement,
IcooxXAADI,amusement,
EbVq52ZeZT,amusement,
p7mQgZJQCP,amusement,
6IbdINW5CK,amusement,
XTpaLUs8HR,amusement,
dc85DuSvN8,amusement,
xeePOkOW0t,amusement,
DKgsmqDxAn,amusement,
15CucFLcLl,amusement,
4Tq9XOkr8B,amusement,
mYIghbnEvx,amusement,
6KS7BOtvId,amusement,
LS8FV7W7LY,amusement,
3rmO3ivCeI,amusement,
709FemMnSG,amusement,
nxiBgaUu34,amusement,
8La637qcz2,amusement,
wiC3PqhzX5,amusement,
y3j7qHnp6p,amusement,
j4bVbOBYoE,amusement,
ySz5hKuWB3,amusement,
p0xhNqPM4G,amusement,
mMyPcUfsOI,amusement,
a6baZGRfHD,amusement,
cFHly7OMKI,amusement,
bySRVlslAI,amusement,
eusv5kLgYa,amusement,
vSIyj3GCsp,amusement,
JExAwesf40,amusement,
uoNazP0Pex,amusement,
Q4C0X2yFdI,amusement,
a9BGY5DbxI,amusement,
Bn4Ih2tnkc,amusement,
CkvInyqnvl,amusement,
F8A3aULkyU,amusement,
3dz7jiiNfL,amusement,
baPYzi8KfY,amusement,
HkbVIBjt1W,amusement,
cyLNeoBVgP,amusement,
1bhNse3NMC,amusement,
6t8zZtpi41,amusement,
fwnj1UEA12,amusement,
MNKeL2ff2x,amusement,
AtEihfPEGW,amusement,
iXDJkEjXVu,amusement,
RPpa19dp6h,amusement,
iXcaSXtazH,amusement,
hLr9Km7adV,amusement,
KvidnVVuUj,amusement,
Av4TkWq0rk,amusement,
3a9nxmZwqc,amusement,
KZ863RKydZ,amusement,
U5pcMkoM4B,amusement,
avBEKocZum,amusement,
bd7vmfgonL,amusement,
iLbgDfM5Xo,amusement,
QQHP8MsaB9,amusement,
2CJ88PSkHb,amusement,
HNbeXnHkUa,amusement,
6LgV8Dw38f,amusement,
WznbxZj2Rn,amusement,
vaxteW5Jme,amusement,
kpgtQaevRK,amusement,
QHiTe287JY,anger,
ZNKVRfWozz,anger,
UY0L6OTaq9,anger,
llY9sUkemM,anger,
iVBMSH8b1Y,anger,
5qXEl3mgLR,anger,
1WJSD893Dk,anger,
tah57Gr4r4,anger,
UUJGPr29dB,anger,
yZmMcQFFxd,anger,
nigL1oyBh1,anger,
ibaQPdceCk,anger,
4Euc9AJdbK,anger,
35JtLKwbHf,anger,
jKmw0Roqpv,anger,
pd9ohIWvBq,anger,
M3ZpgTuQUw,anger,
VTTY4HBTwr,anger,
tnlwhkHEVF,anger,
hNp2wJohXU,anger,
IWyphwjwXz,anger,
lDuyjGn10O,anger,
9uuU7IEhSi,anger,
EjJZKoO7kB,anger,
kkdPpm5Ewd,anger,
LaBVxcA9zn,anger,
CsDnydHfiC,anger,
pJ45BxVE2j,anger,
TN6vBbRNHF,anger,
xvpEoW2TbY,anger,
vfwSMPRXa9,anger,
ci218Oj0Lk,anger,
Ij8cyNMZa5,anger,
kJoGhK03AF,anger,
HoAK74boPq,anger,
q8SVLKd9Bf,anger,
SwdNh4rQBQ,anger,
Zcw68cNLXX,anger,
JBZGLQWBu1,anger,
0p1beCfH8P,anger,
lN2hUuQB3L,anger,
orPx6Vy4OS,anger,
jfDTswsnFa,anger,
CIlTe6H57m,anger,
Hnhpsr2apF,anger,
sMpj6jWjaZ,anger,
T3JQ2NTXHZ,anger,
K3uFzlWA3e,anger,
pfi3haGRjx,anger,
V1Kre6DXQf,anger,
uJRgNQKUP7,anger,
0bgP7Wt6Xa,anger,
AJQ4oChdvO,anger,
3Hdy7UVsZ6,anger,
ULIIAd98NQ,anger,
cmGxccVaf6,anger,
w6sIfEJrkr,anger,
mL8wId6UcZ,anger,
LlglLVJS69,anger,
ZlsZmhRxCl,anger,
isFDYM7H5X,anger,
2trGDamK9p,anger,
UywPPMnvmD,anger,
pq0kGjC9cn,anger,
2otiUHb4wd,anger,
pQxU0dpPQ5,anger,
pNMQWd06iL,anger,
QZ4ZBtfUDo,anger,
GXlLBArpdM,anger,
PEGnII6F6U,anger,
Hh7HzLLOQG,anger,
vOeqkZRjOu,anger,
DgQl2x5e2K,anger,
VVWVOM8ybj,anger,
UkPRNbD1Mi,anger,
12b3dhZV4P,anger,
jspbKTHkT8,anger,
OF3XknlxHj,awe,
0MIOfEiqzi,awe,
GIY5FbvDgm,awe,
R8l27S1F70,awe,
3ObqDMmL22,awe,
NS4MxT7VMN,awe,
zYds22DlZB,awe,
3kIN8w3cKO,awe,
gUpUyvJ5IG,awe,
nAjLn79jyP,awe,
SVX8MIQJDE,awe,
4rQt7Pgubw,awe,
SYhUEzG8Cc,awe,
pLdoLa8Puc,awe,
iuZO1byY3V,awe,
01ZnCQKLXr,awe,
UQ35bUkdaY,awe,
NPVnsYpOzW,awe,
S3GNKcqySs,awe,
eZZPpQiiei,awe,
NgGnLHbvwM,awe,
hRADbyz1k3,awe,
8KpcNCZgS8,awe,
x7A1XJU8nw,awe,
tLpngIbLMX,awe,
xwP36WyTRj,awe,
SFkLNq9Epj,awe,
fMH2SyBYqa,awe,
2SkG2gz68K,awe,
MFtrTrEgSo,awe,
TYzgueYhsg,awe,
ZsfEgmcUZY,awe,
PjKEG3xQnS,awe,
D22vfvQxvk,awe,
UDYuG24lex,awe,
3qK2tnSDz2,awe,
eLmR7kxq5Y,awe,
W2S6t8SAwR,awe,
Knp6Uigg9a,awe,
evyDbAOkHo,awe,
y5nL6maNSA,awe,
ODYfrFpzY1,awe,
sqV4WxySir,awe,
cwNJN56VMe,awe,
e5dNo843vi,awe,
MFlzygMHEv,awe,
LPuH1ZNZ3d,awe,
cDFjg6I1tf,awe,
3lzlZBo9w7,awe,
HUo6J0UXeI,awe,
p5v0MNYi7a,awe,
sIVlD55Seq,awe,
fGaE1CoU9l,awe,
1iCFB8pTC9,awe,
G9E7jybypL,awe,
ujsmHtEA2G,awe,
0W8VNkkoUY,awe,
1nLkEmGukG,awe,
OwkCffzyty,awe,
L6c4a8vVnr,awe,
yMvxUQ8l7d,awe,
oxbRdCusgz,awe,
S5R9lhNGUq,awe,
JslVwvfRRL,awe,
YyvXITUWwa,awe,
uad2FzAsxT,awe,
BmKz6W0v1f,awe,
ydLCqM27e9,awe,
k1ymI4QEcI,awe,
NZ5YvNMSQw,awe,
AVAKEOIWnq,awe,
3RK2Ag2MmN,awe,
1cFvsSHmIw,awe,
mYwwZZEYM9,awe,
rR0scBvMfW,awe,
7tzEttKFaP,awe,
bTAFiwCeO1,awe,
bqCFUuCrNq,awe,
H4c51zvXwa,awe,
T0BBLoyRue,awe,
uR1EpYQxNL,awe,
PDeyZvEugd,awe,
YdKcOlUhCu,awe,
5WFhv8j1gs,awe,
Bxoow9Tq03,awe,
tFkb5GYuca,awe,
TMaUIw36rP,awe,
HMGTelOev4,awe,
vmRrtIVEC0,awe,
HBd7ZHteLM,awe,
4LXNxeA4Gg,awe,
Y1Kln6qcN5,awe,
s4cRkfOIm6,awe,
