name,gt,gpt4v
fer0035570.png,neutral,"sadness,neutral,contempt,anger,fear"
fer0032273.png,anger,"happiness,surprise,neutral,fear,contempt"
fer0033303.png,disgust,"anger,contempt,disgust,neutral,sadness"
fer0033236.png,surprise,"surprise,fear,neutral,happiness,contempt"
fer0033766.png,happiness,"happiness,surprise,neutral,contempt,fear"
fer0033978.png,neutral,"neutral,sadness,contempt,anger,disgust"
fer0032978.png,neutral,"sadness,fear,neutral,disgust,anger"
fer0035036.png,happiness,"happiness,surprise,neutral,contempt,fear"
fer0033883.png,happiness,"happiness,surprise,neutral,contempt,fear"
fer0033339.png,fear,"surprise,fear,happiness,neutral,contempt"
fer0035043.png,neutral,"sadness,neutral,contempt,disgust,anger"
fer0035179.png,anger,"happiness,surprise,neutral,contempt,fear"
fer0032628.png,happiness,"surprise,happiness,fear,neutral,contempt"
fer0033441.png,neutral,"neutral,sadness,contempt,anger,disgust"
fer0033295.png,happiness,"happiness,neutral,surprise,contempt,fear"
fer0032597.png,happiness,"happiness,surprise,neutral,contempt,fear"
fer0034239.png,sadness,"sadness,fear,neutral,disgust,anger"
fer0034923.png,neutral,"neutral,sadness,contempt,anger,disgust"
fer0035700.png,surprise,"surprise,fear,neutral,happiness,contempt"
fer0034444.png,happiness,"happiness,surprise,neutral,contempt,fear"
fer0032618.png,neutral,"neutral,sadness,contempt,anger,fear"
fer0034222.png,happiness,"happiness,surprise,neutral,fear,contempt"
fer0032850.png,happiness,"happiness,neutral,surprise,contempt,fear"
fer0033112.png,surprise,"surprise,fear,happiness,neutral,contempt"
fer0035475.png,fear,"sadness,fear,neutral,disgust,anger"
fer0033953.png,happiness,"neutral,sadness,contempt,anger,fear"
fer0034121.png,anger,"anger,contempt,disgust,fear,neutral"
fer0033697.png,anger,"fear,surprise,anger,disgust,neutral"
fer0034144.png,neutral,"sadness,neutral,contempt,fear,disgust"
fer0033833.png,neutral,"sadness,neutral,fear,contempt,disgust"
fer0033690.png,happiness,"neutral,sadness,contempt,fear,anger"
fer0035366.png,sadness,"neutral,sadness,fear,contempt,anger"
fer0034699.png,contempt,"disgust,contempt,anger,neutral,fear"
fer0032324.png,happiness,"happiness,surprise,neutral,contempt,fear"
fer0033242.png,happiness,"happiness,surprise,neutral,contempt,fear"
fer0032509.png,neutral,"neutral,contempt,sadness,anger,fear"
