name,gt,gpt4v
77.jpg,negative,
88.jpg,positive,
76.jpg,positive,
62.jpg,positive,
74.jpg,positive,
60.jpg,positive,
48.jpg,positive,
49.jpg,negative,
61.jpg,negative,
59.jpg,positive,
71.jpg,positive,
65.jpg,negative,
70.jpg,positive,
58.jpg,positive,
8.jpg,positive,
66.jpg,positive,
72.jpg,positive,
99.jpg,positive,
98.jpg,positive,
73.jpg,positive,
67.jpg,positive,
9.jpg,positive,
14.jpg,positive,
28.jpg,positive,
129.jpg,positive,
101.jpg,positive,
100.jpg,positive,
128.jpg,positive,
29.jpg,negative,
15.jpg,positive,
17.jpg,positive,
117.jpg,positive,
16.jpg,positive,
12.jpg,positive,
106.jpg,positive,
112.jpg,positive,
13.jpg,positive,
39.jpg,positive,
11.jpg,negative,
104.jpg,negative,
139.jpg,positive,
111.jpg,negative,
105.jpg,positive,
10.jpg,positive,
21.jpg,positive,
35.jpg,positive,
108.jpg,positive,
120.jpg,positive,
134.jpg,positive,
135.jpg,positive,
121.jpg,positive,
109.jpg,negative,
34.jpg,negative,
20.jpg,positive,
36.jpg,positive,
22.jpg,negative,
123.jpg,positive,
136.jpg,positive,
23.jpg,positive,
37.jpg,positive,
33.jpg,positive,
27.jpg,positive,
132.jpg,negative,
126.jpg,negative,
127.jpg,positive,
133.jpg,positive,
26.jpg,positive,
32.jpg,positive,
18.jpg,negative,
24.jpg,positive,
30.jpg,positive,
119.jpg,positive,
118.jpg,positive,
130.jpg,positive,
31.jpg,positive,
25.jpg,negative,
19.jpg,negative,
42.jpg,positive,
4.jpg,negative,
56.jpg,positive,
81.jpg,positive,
95.jpg,positive,
143.jpg,negative,
142.jpg,positive,
94.jpg,positive,
80.jpg,positive,
5.jpg,positive,
57.jpg,positive,
43.jpg,negative,
7.jpg,positive,
41.jpg,positive,
69.jpg,positive,
96.jpg,positive,
82.jpg,positive,
141.jpg,positive,
83.jpg,positive,
68.jpg,negative,
40.jpg,positive,
54.jpg,positive,
6.jpg,negative,
78.jpg,positive,
2.jpg,positive,
50.jpg,negative,
44.jpg,positive,
145.jpg,positive,
93.jpg,positive,
86.jpg,negative,
92.jpg,positive,
144.jpg,positive,
45.jpg,positive,
3.jpg,positive,
51.jpg,negative,
47.jpg,negative,
53.jpg,positive,
1.jpg,positive,
146.jpg,positive,
90.jpg,positive,
91.jpg,positive,
147.jpg,negative,
52.jpg,positive,
46.jpg,positive,
189.jpg,positive,
162.jpg,positive,
228.jpg,negative,
214.jpg,positive,
200.jpg,positive,
201.jpg,positive,
215.jpg,positive,
177.jpg,positive,
149.jpg,positive,
175.jpg,positive,
161.jpg,positive,
203.jpg,positive,
217.jpg,positive,
216.jpg,positive,
202.jpg,positive,
160.jpg,positive,
174.jpg,negative,
148.jpg,positive,
170.jpg,negative,
164.jpg,positive,
158.jpg,positive,
206.jpg,positive,
212.jpg,positive,
207.jpg,positive,
159.jpg,positive,
165.jpg,positive,
171.jpg,positive,
198.jpg,positive,
167.jpg,positive,
173.jpg,negative,
211.jpg,positive,
205.jpg,positive,
239.jpg,positive,
238.jpg,negative,
204.jpg,positive,
210.jpg,positive,
172.jpg,positive,
166.jpg,negative,
199.jpg,negative,
288.jpg,positive,
277.jpg,negative,
263.jpg,positive,
262.jpg,negative,
276.jpg,negative,
302.jpg,positive,
300.jpg,positive,
248.jpg,positive,
260.jpg,positive,
275.jpg,positive,
261.jpg,positive,
249.jpg,positive,
301.jpg,positive,
271.jpg,positive,
270.jpg,positive,
264.jpg,positive,
299.jpg,positive,
267.jpg,positive,
273.jpg,positive,
295.jpg,positive,
281.jpg,positive,
256.jpg,positive,
242.jpg,positive,
243.jpg,positive,
257.jpg,positive,
280.jpg,positive,
294.jpg,positive,
282.jpg,positive,
296.jpg,positive,
269.jpg,negative,
241.jpg,negative,
255.jpg,positive,
254.jpg,positive,
240.jpg,positive,
268.jpg,positive,
297.jpg,negative,
293.jpg,positive,
244.jpg,positive,
250.jpg,negative,
251.jpg,positive,
286.jpg,positive,
290.jpg,positive,
284.jpg,positive,
291.jpg,positive,
180.jpg,positive,
194.jpg,positive,
209.jpg,positive,
235.jpg,negative,
221.jpg,negative,
234.jpg,positive,
208.jpg,positive,
156.jpg,positive,
195.jpg,positive,
181.jpg,positive,
197.jpg,negative,
183.jpg,negative,
154.jpg,positive,
222.jpg,positive,
223.jpg,negative,
155.jpg,positive,
169.jpg,positive,
182.jpg,positive,
196.jpg,positive,
192.jpg,positive,
186.jpg,positive,
179.jpg,negative,
227.jpg,positive,
226.jpg,positive,
