name,gt,gpt4v
iXDJkEjXVu,positive,"awe,excitement,amusement,contentment,fear,sad,anger,disgust"
DvL9B9PhAG,negative,"sad,fear,disgust,anger,contentment,amusement,awe,excitement"
F8A3aULkyU,positive,"amusement,contentment,awe,excitement,sad,fear,anger,disgust"
TBvSOVMXHG,negative,"disgust,awe,fear,sad,anger,contentment,excitement,amusement"
ZzOtErUX5A,positive,"contentment,amusement,excitement,awe,sad,fear,anger,disgust"
NZ5YvNMSQw,positive,"awe,contentment,amusement,excitement,sad,anger,fear,disgust"
LtFdscQXxP,negative,"sad,contentment,awe,amusement,excitement,fear,anger,disgust"
vvGkxVQtVY,negative,"fear,disgust,sad,anger,awe,contentment,excitement,amusement"
Z4cTMaJzTX,negative,"fear,disgust,sad,anger,awe,contentment,excitement,amusement"
hQvQ0B03gL,negative,"awe,contentment,sad,amusement,excitement,fear,anger,disgust"
7Pv17uR3Ud,negative,"sad,contentment,awe,fear,amusement,excitement,anger,disgust"
AoAHsMsQPC,positive,"amusement,contentment,awe,excitement,sad,fear,anger,disgust"
mzHxjcHGVB,positive,"awe,contentment,sad,excitement,fear,amusement,anger,disgust"
e7Bhrxlrqd,negative,"fear,sad,awe,anger,disgust,contentment,amusement,excitement"
bTAFiwCeO1,positive,"awe,contentment,amusement,excitement,sad,fear,anger,disgust"
orPx6Vy4OS,negative,"fear,awe,sad,anger,disgust,contentment,amusement,excitement"
j7J9NWl8vr,negative,"amusement,excitement,contentment,awe,sad,fear,anger,disgust"
OMeLYLA8uq,negative,"sad,fear,anger,disgust,awe,contentment,amusement,excitement"
WEuLHCSd6F,positive,"excitement,contentment,amusement,awe,sad,fear,anger,disgust"
HpFAlBFwso,positive,"contentment,amusement,awe,excitement,sad,anger,fear,disgust"
ppvxwCAC1e,negative,"sad,awe,fear,disgust,anger,contentment,excitement,amusement"
ivZnEakBPC,positive,"excitement,contentment,awe,amusement,sad,anger,fear,disgust"
AkVaFewAFZ,negative,"sad,contemplation,fear,disgust,anger,awe,excitement,amusement"
6wJ96U0K0V,negative,"awe,sad,fear,contentment,anger,disgust,excitement,amusement"
GDNjbnnxgg,positive,"awe,contentment,sad,excitement,amusement,fear,anger,disgust"
Sa76fnvesw,negative,"contentment,awe,excitement,amusement,sad,fear,anger,disgust"
CkvInyqnvl,positive,"excitement,amusement,awe,contentment,sad,anger,fear,disgust"
tLpngIbLMX,positive,"amusement,contentment,awe,excitement,sad,anger,fear,disgust"
k0khlyWSVx,positive,"contentment,excitement,amusement,awe,sad,anger,fear,disgust"
EbVq52ZeZT,positive,"contentment,amusement,excitement,awe,sad,anger,fear,disgust"
5Lme9tGqIF,positive,"excitement,amusement,awe,contentment,sad,anger,fear,disgust"
NOcZLIHiT3,positive,"awe,contentment,amusement,excitement,sad,anger,fear,disgust"
p7mQgZJQCP,positive,"contentment,amusement,awe,excitement,sad,anger,fear,disgust"
Bn4Ih2tnkc,positive,"amusement,contentment,awe,excitement,sad,anger,fear,disgust"
X8BePc0UGm,positive,"contentment,sad,awe,amusement,excitement,anger,fear,disgust"
8IZKJZGWVk,positive,"awe,contentment,sad,excitement,amusement,fear,anger,disgust"
3Hdy7UVsZ6,negative,"excitement,awe,amusement,contentment,sad,anger,fear,disgust"
d8koKDiHoi,negative,"fear,disgust,sad,anger,awe,contentment,excitement,amusement"
MyCkwdBfF8,negative,"sad,fear,disgust,anger,contentment,awe,exc"
QEHPkjf7Ix,negative,"fear,sad,disgust,anger,awe,contentment,excitement,amusement"
7uwbJVp96S,positive,"sad,contentment,awe,disgust,fear,anger,excitement,amusement"
WznbxZj2Rn,positive,"disgust,fear,sad,anger,amusement,excitement,contentment,awe"
EwDG21gDXT,positive,"excitement,amusement,awe,contentment,sad,fear,disgust,anger"
j4bVbOBYoE,positive,"amusement,contentment,awe,excitement,sad,fear,disgust,anger"
RPpa19dp6h,positive,"amusement,awe,contentment,excitement,sad,fear,disgust,anger"
KG4RgNa18o,negative,"disgust,sad,fear,anger,contentment,awe,excitement,amusement"
eZZPpQiiei,positive,"sad,awe,contentment,fear,disgust,anger,excitement,amusement"
KnxxhVqMrE,positive,"awe,contentment,amusement,excitement,sad,fear,disgust,anger"
VAOBRvKwhh,positive,"contentment,awe,sad,amusement,excitement,fear,disgust,anger"
1n9Nr1f5PK,negative,"sad,fear,disgust,anger,contentment,awe,excitement,amusement"
PnXFxfd95j,positive,"contentment,awe,amusement,excitement,sad,fear,disgust,anger"
TxLj8Kh7uz,negative,"awe,contentment,sad,amusement,excitement,fear,disgust,anger"
i7bf4l4LXe,negative,"sad,fear,disgust,anger,contentment,awe,excitement,amusement"
tszUSCySCF,positive,"awe,contentment,amusement,excitement,sad,fear,disgust,anger"
MBY1t3XVks,positive,"contentment,awe,amusement,excitement,sad,fear,disgust,anger"
Es8wYnSg9o,negative,"fear,sad,disgust,anger,awe,contentment,excitement,amusement"
3dz7jiiNfL,positive,"fear,disgust,sad,anger,contentment,awe,excitement,amusement"
0vt31sZosm,negative,"contentment,amusement,awe,excitement,sad,fear,disgust,anger"
ZjM4K42la0,positive,"contentment,awe,sad,amusement,excitement,fear,dis"
VVWVOM8ybj,negative,"fear,sad,anger,disgust,contentment,awe,excitement,amusement"
nYvCC1h2xe,positive,"contentment,awe,sad,amusement,excitement,fear,anger,disgust"
M5y5MXe2ti,positive,"sad,awe,contentment,anger,fear,disgust,excitement,amusement"
gNc8BR5avO,negative,"sad,disgust,anger,fear,contentment,awe,excitement,amusement"
ZaLmcVgaXu,negative,"awe,contentment,amusement,excitement,sad,fear,anger,disgust"
tah57Gr4r4,negative,"sad,awe,contentment,amusement,excitement,fear,anger,disgust"
Zp19rZcnBf,negative,"fear,disgust,anger,sad,amusement,excitement,contentment,awe"
ycR9a1UYqd,negative,"amusement,contentment,awe,excitement,sad,fear,anger,disgust"
