name,gt,gpt4v
sample_00005476,neutral,"worried,sad,neutral,angry,surprised"
sample_00002090,worried,"neutral,surprised,angry,happy,worried"
sample_00000825,happy,"sad,worried,neutral,angry,surprised"
sample_00001673,angry,"angry,surprised,worried,sad,neutral"
sample_00005401,sad,"neutral,happy,surprised,worried,angry"
sample_00003720,happy,"happy,neutral,surprised,worried,angry"
sample_00006466,sad,"sad,angry,worried,neutral,surprised"
sample_00006142,surprise,"angry,worried,neutral,sad,surprised"
sample_00005104,angry,"worried,angry,neutral,surprised,sad"
sample_00004030,surprise,"happy,neutral,surprised,worried,sad"
sample_00006932,happy,"happy,surprised,neutral,worried,sad"
sample_00006516,worried,"worried,neutral,surprised,happy,angry"
sample_00000408,sad,"sad,angry,worried,neutral,surprised"
sample_00006716,angry,"angry,worried,surprised,sad,neutral"
sample_00000583,surprise,"surprised,neutral,happy,worried,sad"
sample_00002634,neutral,"neutral,happy,surprised,worried,angry"
sample_00004548,sad,"neutral,worried,happy,sad,angry"
sample_00005348,happy,"neutral,happy,surprised,worried,angry"
sample_00004046,worried,"worried,neutral,angry,surprised,sad"
sample_00000618,sad,"sad,worried,neutral,angry,surprised"
sample_00001131,happy,"angry,worried,neutral,surprised,sad"
sample_00006581,angry,"happy,neutral,surprised,worried,angry"
sample_00000778,neutral,"worried,neutral,surprised,sad,angry"
sample_00003613,worried,"surprised,happy,neutral,worried,sad"
sample_00005399,surprise,"neutral,happy,worried,surprised,sad"
sample_00004202,angry,"happy,neutral,worried,surprised,angry"
sample_00007015,sad,"neutral,worried,happy,surprised,angry"
sample_00003535,happy,"angry,worried,neutral,sad,surprised"
sample_00003517,neutral,"angry,worried,sad,neutral,surprised"
sample_00005273,neutral,"angry,worried,neutral,sad,surprised"
sample_00003463,sad,"worried,angry,neutral,sad,surprised"
sample_00004866,happy,"sad,worried,neutral,angry,surprised"
sample_00003221,angry,"sad,worried,neutral,angry,surprised"
sample_00000637,angry,"sad,angry,worried,neutral,surprised"
sample_00000060,sad,"angry,worried,sad,neutral,surprised"
sample_00000008,sad,"neutral,worried,sad,surprised,happy"
sample_00006169,sad,"worried,sad,neutral,surprised,angry"
sample_00003369,angry,"worried,sad,neutral,surprised,angry"
sample_00005103,neutral,"worried,sad,neutral,surprised,angry"
sample_00004851,neutral,"worried,sad,neutral,angry,surprised"
sample_00002193,happy,"angry,worried,neutral,sad,surprised"
sample_00000277,angry,"angry,worried,neutral,sad,surprised"
sample_00002161,happy,"angry,worried,neutral,sad,surprised"
sample_00002981,worried,"angry,worried,neutral,sad,surprised"
sample_00001758,angry,"angry,worried,neutral,sad,surprised"
sample_00000696,angry,"angry,worried,neutral,sad,surprised"
sample_00002540,worried,"angry,worried,neutral,sad,surprised"
sample_00005405,worried,"angry,worried,neutral,sad,surprised"
sample_00000780,neutral,"angry,worried,neutral,sad,surprised"
sample_00004752,neutral,"angry,worried,neutral,sad,surprised"
sample_00005522,angry,"angry,worried,neutral,sad,surprised"
sample_00001071,happy,"angry,worried,neutral,sad,surprised"
sample_00000905,happy,"angry,worried,neutral,sad,surprised"
sample_00004937,happy,"angry,worried,neutral,sad,surprised"
sample_00007005,angry,"angry,worried,neutral,sad,surprised"
sample_00004764,happy,"angry,worried,neutral,sad,surprised"
