name,gt,gpt4v
S107_005_00000010.png,disgust,"anger,contempt,disgust,sadness,fear"
S999_003_00000055.png,fear,"fear,surprise,sadness,disgust,anger"
S028_001_00000023.png,anger,"disgust,contempt,anger,sadness,fear"
S097_001_00000021.png,surprise,"surprise,fear,happy,sadness,anger"
S071_004_00000026.png,anger,"sadness,disgust,anger,contempt,fear"
S086_001_00000019.png,surprise,"surprise,fear,happy,sadness,anger"
S895_002_00000005.png,contempt,"sadness,contempt,disgust,anger,fear"
S022_006_00000015.png,disgust,"anger,contempt,disgust,sadness,fear"
S106_006_00000011.png,happy,"happy,surprise,sadness,fear,contempt"
S076_006_00000018.png,happy,"happy,surprise,sadness,fear,contempt"
S066_003_00000011.png,happy,"happy,surprise,sadness,fear,contempt"
S055_004_00000026.png,anger,"sadness,disgust,anger,contempt,fear"
S068_003_00000013.png,surprise,"surprise,fear,happy,sadness,anger"
S099_001_00000013.png,surprise,"surprise,fear,happy,sadness,anger"
S100_005_00000023.png,anger,"sadness,disgust,anger,contempt,fear"
S151_002_00000029.png,contempt,"happy,surprise,sadness,fear,contempt"
S026_003_00000015.png,anger,"anger,disgust,contempt,sadness,fear"
S014_002_00000016.png,sadness,"sadness,fear,disgust,anger,contempt"
S129_012_00000009.png,happy,"happy,surprise,sadness,fear,contempt"
S010_004_00000017.png,anger,"sadness,disgust,anger,contempt,fear"
S087_004_00000012.png,disgust,"disgust,anger,contempt,sadness,fear"
S109_006_00000015.png,happy,"happy,surprise,sadness,contempt,anger"
S113_001_00000010.png,surprise,"surprise,fear,happy,sadness,disgust"
S060_002_00000024.png,happy,"happy,surprise,sadness,contempt,anger"
S045_004_00000014.png,disgust,"disgust,contempt,anger,sadness,fear"
S132_003_00000023.png,fear,"sadness,disgust,anger,fear,contempt"
S149_002_00000013.png,contempt,"sadness,contempt,anger,disgust,fear"
S092_001_00000016.png,surprise,"surprise,fear,happy,sadness,disgust"
S502_002_00000007.png,contempt,"sadness,contempt,anger,disgust,fear"
S115_004_00000016.png,sadness,"sadness,disgust,anger,fear,contempt"
S050_004_00000020.png,anger,"disgust,anger,contempt,sadness,fear"
S124_003_00000011.png,fear,"sadness,fear,disgust,anger,contempt"
S133_010_00000013.png,happy,"happy,surprise,sadness,contempt,anger"
S063_002_00000023.png,happy,"happy,surprise,sadness,contempt,anger"
S057_003_00000015.png,disgust,"anger,contempt,disgust,sadness,fear"
S063_002_00000021.png,happy,"happy,surprise,sadness,contempt,anger"
S127_004_00000016.png,happy,"happy,surprise,sadness,contempt,anger"
S068_005_00000020.png,disgust,"disgust,anger,contempt,sadness,fear"
S068_003_00000014.png,surprise,"surprise,fear,happy,sadness,disgust"
S032_001_00000021.png,surprise,"surprise,fear,happy,sadness,disgust"
S148_002_00000014.png,contempt,"sadness,contempt,anger,disgust,fear"
S052_006_00000011.png,disgust,"disgust,contempt,anger,sadness,fear"
S138_008_00000008.png,contempt,"happy,surprise,contempt,sadness,anger"
S054_004_00000024.png,disgust,"anger,contempt,disgust,sadness,fear"
S079_004_00000026.png,happy,"happy,surprise,sadness,contempt,anger"
S070_002_00000016.png,surprise,"surprise,fear,happy,sadness,contempt"
S108_008_00000013.png,happy,"happy,surprise,sadness,contempt,anger"
S062_005_00000028.png,disgust,"contempt,disgust,anger,sadness,fear"
S032_004_00000013.png,fear,"anger,contempt,disgust,sadness,fear"
S124_001_00000014.png,surprise,"surprise,fear,happy,sadness,contempt"
S074_001_00000019.png,fear,"fear,surprise,disgust,anger,sadness"
S011_003_00000014.png,fear,"fear,sadness,surprise,disgust,anger"
S090_006_00000009.png,disgust,"anger,disgust,contempt,sadness,fear"
S022_001_00000029.png,surprise,"surprise,fear,happy,sadness,contempt"
S084_002_00000023.png,fear,"sadness,fear,disgust,anger,contempt"
S014_003_00000028.png,anger,"sadness,disgust,anger,contempt,fear"
S134_008_00000013.png,disgust,"disgust,anger,contempt,sadness,fear"
