name,gt,gpt4v
sample_00000963,angry,"worried,neutral,angry,surprised,sad"
sample_00000734,neutral,"neutral,worried,happy,surprised,sad"
sample_00003093,neutral,"happy,surprised,neutral,worried,sad"
sample_00000778,neutral,"worried,neutral,sad,angry,surprised"
sample_00003467,sad,"neutral,worried,happy,surprised,angry"
sample_00004653,sad,"sad,worried,neutral,angry,surprised"
sample_00006632,neutral,"neutral,angry,worried,surprised,sad"
sample_00001857,neutral,"sad,worried,neutral,surprised,happy"
sample_00001901,neutral,"worried,neutral,sad,surprised,angry"
sample_00002738,angry,"neutral,worried,sad,angry,happy"
sample_00005686,neutral,"happy,surprised,neutral,worried,sad"
sample_00000532,surprise,"neutral,worried,sad,happy,angry"
sample_00001772,worried,"worried,neutral,sad,surprised,happy"
sample_00005262,worried,"neutral,worried,happy,surprised,sad"
sample_00000583,surprise,"neutral,worried,happy,surprised,sad"
sample_00006253,sad,"worried,sad,neutral,surprised,angry"
sample_00005453,angry,"worried,neutral,sad,surprised,angry"
sample_00000748,sad,"worried,sad,neutral,surprised,angry"
sample_00002646,sad,"sad,worried,neutral,angry,surprised"
sample_00003833,angry,"worried,neutral,surprised,sad,angry"
sample_00002609,happy,"happy,neutral,surprised,worried,sad"
sample_00005273,neutral,"worried,neutral,sad,surprised,angry"
sample_00001613,angry,"neutral,worried,angry,sad,surprised"
sample_00001071,happy,"happy,neutral,surprised,worried,sad"
sample_00006138,happy,"happy,neutral,surprised,worried,sad"
sample_00003198,worried,"worried,sad,neutral,surprised,angry"
sample_00002981,worried,"worried,neutral,sad,angry,surprised"
sample_00002346,neutral,"worried,sad,neutral,angry,surprised"
sample_00000947,sad,"neutral,worried,sad,angry,surprised"
sample_00001291,neutral,"happy,neutral,surprised,worried,sad"
sample_00002540,worried,"worried,neutral,sad,angry,surprised"
sample_00003369,angry,"happy,surprised,neutral,worried,sad"
sample_00002745,worried,"worried,neutral,sad,angry,surprised"
sample_00005475,neutral,"happy,surprised,neutral,worried,sad"
sample_00002898,angry,"worried,neutral,sad,angry,happy"
sample_00004153,sad,"neutral,worried,sad,angry,happy"
sample_00002790,angry,"worried,neutral,sad,angry,happy"
sample_00001998,worried,"happy,surprised,neutral,worried,sad"
sample_00004340,happy,"sad,worried,neutral,angry,happy"
sample_00000060,sad,"sad,worried,neutral,angry,happy"
sample_00005757,worried,"worried,sad,neutral,angry,surprised"
sample_00005275,happy,"happy,surprised,neutral,worried,sad"
sample_00004845,angry,"surprised,worried,neutral,happy,sad"
sample_00005260,neutral,"neutral,worried,sad,angry,happy"
sample_00000148,surprise,"neutral,happy,surprised,worried,sad"
sample_00005405,worried,"sad,worried,neutral,angry,surprised"
sample_00006663,worried,"surprised,worried,neutral,sad,happy"
sample_00002580,sad,"worried,sad,neutral,angry,surprised"
sample_00003929,sad,"worried,neutral,sad,surprised,angry"
sample_00005186,worried,"worried,neutral,angry,surprised,sad"
sample_00002831,sad,"sad,worried,neutral,surprised,angry"
sample_00000402,angry,"worried,angry,neutral,sad,surprised"
sample_00005421,surprise,"neutral,worried,surprised,happy,sad"
sample_00002203,happy,"happy,surprised,neutral,worried,sad"
sample_00002305,happy,"happy,neutral,surprised,worried,sad"
sample_00001787,angry,"neutral,surprised,worried,happy,angry"
sample_00004032,happy,"happy,neutral,surprised,worried,sad"
sample_00001907,angry,"worried,sad,neutral,surprised,angry"
sample_00001493,happy,"happy,surprised,neutral,worried,angry"
sample_00005047,angry,"worried,neutral,sad,angry,surprised"
sample_00003346,happy,"happy,surprised,neutral,worried,sad"
sample_00003039,worried,"angry,worried,neutral,sad,surprised"
sample_00003488,angry,"angry,worried,sad,neutral,surprised"
sample_00004886,sad,"sad,worried,neutral,surprised,angry"
sample_00004295,angry,"neutral,worried,sad,angry,happy"
sample_00002762,angry,"worried,neutral,sad,surprised,angry"
sample_00003532,surprise,"surprised,worried,neutral,sad,happy"
sample_00000014,neutral,"happy,neutral,surprised,worried,sad"
sample_00004851,neutral,"neutral,happy,worried,surprised,sad"
sample_00005348,happy,"happy,neutral,surprised,worried,sad"
sample_00003570,happy,"neutral,happy,surprised,worried,sad"
sample_00006169,sad,"worried,sad,neutral,angry,surprised"
sample_00002761,angry,"worried,neutral,sad,angry,surprised"
sample_00001099,neutral,"sad,worried,neutral,surprised,angry"
sample_00000277,angry,"sad,worried,neutral,angry,surprised"
sample_00001815,neutral,"neutral,happy,worried,surprised,sad"
sample_00001991,neutral,"neutral,worried,sad,happy,angry"
sample_00002068,angry,"neutral,worried,sad,angry,happy"
sample_00004914,neutral,"neutral,happy,worried,surprised,sad"
sample_00003181,neutral,"neutral,worried,sad,happy,angry"
sample_00005208,neutral,"happy,neutral,surprised,worried,sad"
sample_00006643,neutral,"sad,worried,neutral,surprised,happy"
sample_00004789,angry,"worried,sad,neutral,surprised,angry"
sample_00004917,happy,"surprised,neutral,worried,happy,sad"
sample_00000317,happy,"happy,neutral,surprised,worried,sad"
sample_00001778,angry,"angry,worried,neutral,surprised,sad"
sample_00000257,angry,"angry,worried,neutral,surprised,sad"
sample_00006805,neutral,"surprised,neutral,happy,worried,sad"
sample_00003275,worried,"worried,neutral,angry,surprised,sad"
sample_00002061,happy,"happy,neutral,surprised,worried,sad"
sample_00004046,worried,"neutral,sad,worried,angry,surprised"
sample_00006763,angry,"neutral,worried,sad,angry,surprised"
sample_00003204,angry,"worried,neutral,angry,sad,surprised"
sample_00003221,angry,"happy,neutral,surprised,worried,sad"
sample_00003720,happy,"angry,worried,neutral,surprised,sad"
sample_00004758,angry,"angry,worried,neutral,sad,surprised"
sample_00002400,worried,"worried,neutral,sad,angry,surprised"
sample_00000849,happy,"surprised,happy,neutral,worried,sad"
sample_00004909,angry,"sad,worried,neutral,angry,surprised"
sample_00000463,angry,"angry,worried,neutral,sad,surprised"
sample_00003074,angry,"neutral,worried,sad,angry,happy"
sample_00003222,sad,"worried,neutral,sad,angry,happy"
sample_00002884,worried,"neutral,worried,happy,surprised,sad"
sample_00005306,happy,"happy,surprised,neutral,worried,sad"
sample_00000236,neutral,"neutral,worried,sad,happy,surprised"
sample_00005461,worried,"worried,neutral,surprised,sad,happy"
sample_00002543,sad,"neutral,worried,sad,surprised,happy"
sample_00001047,happy,"happy,surprised,neutral,worried,sad"
sample_00003483,happy,"happy,surprised,neutral,worried,sad"
sample_00004455,angry,"angry,worried,neutral,sad,surprised"
sample_00002226,happy,"happy,surprised,neutral,worried,sad"
sample_00006716,angry,"angry,worried,neutral,sad,surprised"
sample_00003764,worried,"worried,neutral,sad,surprised,angry"
sample_00006757,neutral,"neutral,surprised,happy,worried,sad"
sample_00002531,happy,"neutral,happy,worried,angry,sad"
sample_00005998,happy,"happy,neutral,surprised,worried,sad"
sample_00004807,happy,"happy,neutral,surprised,worried,sad"
sample_00003390,neutral,"worried,neutral,sad,angry,surprised"
sample_00005141,happy,"happy,neutral,surprised,worried,sad"
sample_00005147,neutral,"neutral,worried,angry,sad,surprised"
sample_00003944,worried,"worried,neutral,surprised,sad,angry"
sample_00006875,angry,"neutral,worried,surprised,sad,happy"
sample_00001638,happy,"happy,surprised,neutral,worried,angry"
sample_00005791,happy,"happy,neutral,surprised,worried,sad"
sample_00005763,worried,"sad,worried,neutral,angry,surprised"
sample_00006932,happy,"happy,neutral,surprised,worried,sad"
sample_00003443,neutral,"neutral,worried,sad,surprised,angry"
sample_00001399,happy,"happy,neutral,surprised,worried,sad"
sample_00006826,angry,"worried,sad,neutral,angry,surprised"
sample_00000489,happy,"happy,neutral,surprised,worried,sad"
sample_00001376,worried,"neutral,worried,sad,angry,happy"
sample_00000470,worried,"worried,sad,neutral,angry,surprised"
sample_00000825,happy,"happy,surprised,neutral,worried,sad"
sample_00003387,angry,"angry,worried,neutral,sad,surprised"
sample_00006730,angry,"happy,surprised,neutral,worried,sad"
sample_00005210,neutral,"neutral,happy,worried,surprised,sad"
sample_00005065,angry,"surprised,worried,neutral,sad,happy"
sample_00003176,neutral,"surprised,happy,neutral,worried,sad"
sample_00003517,neutral,"neutral,worried,sad,happy,angry"
sample_00006167,neutral,"sad,worried,neutral,angry,happy"
sample_00000360,surprise,"neutral,worried,sad,angry,happy"
sample_00004761,neutral,"neutral,happy,worried,angry,sad"
sample_00004030,surprise,"surprised,happy,neutral,worried,angry"
sample_00005045,happy,"happy,surprised,neutral,worried,angry"
sample_00004338,angry,"worried,neutral,sad,angry,surprised"
sample_00002135,happy,"worried,sad,neutral,angry,surprised"
sample_00000386,worried,"neutral,worried,sad,angry,surprised"
sample_00003452,happy,"happy,surprised,neutral,worried,angry"
sample_00002373,neutral,"worried,sad,neutral,angry,surprised"
sample_00006116,angry,"angry,worried,neutral,sad,surprised"
sample_00001969,angry,"neutral,worried,sad,angry,surprised"
sample_00004548,sad,"sad,worried,neutral,angry,surprised"
sample_00006248,angry,"angry,worried,neutral,sad,surprised"
sample_00005895,neutral,"sad,worried,neutral,angry,surprised"
sample_00004764,happy,"neutral,happy,surprised,worried,sad"
sample_00006215,angry,"happy,surprised,neutral,worried,sad"
sample_00003845,happy,"happy,neutral,surprised,worried,sad"
sample_00001501,angry,"angry,worried,sad,neutral,surprised"
sample_00001136,neutral,"happy,surprised,neutral,worried,sad"
sample_00000820,angry,"worried,sad,neutral,angry,surprised"
sample_00005224,angry,"neutral,worried,sad,happy,angry"
sample_00002161,happy,"happy,surprised,neutral,worried,sad"
sample_00004224,surprise,"worried,neutral,sad,angry,surprised"
sample_00003279,angry,"angry,worried,neutral,sad,surprised"
sample_00005522,angry,"neutral,sad,worried,angry,happy"
sample_00005886,happy,"happy,neutral,surprised,worried,sad"
sample_00000452,neutral,"worried,neutral,sad,surprised,angry"
sample_00003174,happy,"happy,surprised,neutral,worried,sad"
sample_00004937,happy,"happy,neutral,surprised,worried,sad"
sample_00003069,worried,"worried,neutral,surprised,sad,angry"
sample_00002044,happy,"happy,surprised,neutral,worried,sad"
sample_00003738,worried,"worried,neutral,sad,surprised,angry"
sample_00003364,happy,"happy,neutral,surprised,worried,sad"
sample_00001131,happy,"neutral,happy,worried,surprised,sad"
sample_00006466,sad,"neutral,worried,sad,surprised,angry"
sample_00001902,happy,"happy,neutral,surprised,worried,sad"
sample_00002619,happy,"happy,surprised,neutral,worried,sad"
sample_00006316,angry,"worried,neutral,sad,surprised,angry"
sample_00006252,happy,"happy,neutral,surprised,worried,sad"
sample_00000311,happy,"neutral,happy,worried,sad,surprised"
sample_00004880,worried,"worried,neutral,sad,angry,surprised"
sample_00004988,worried,"neutral,worried,sad,angry,happy"
sample_00002744,neutral,"neutral,worried,angry,sad,happy"
sample_00004135,worried,"worried,sad,neutral,angry,surprised"
sample_00000733,neutral,"neutral,happy,worried,surprised,sad"
sample_00003805,angry,"worried,sad,neutral,angry,surprised"
sample_00002512,sad,"sad,worried,neutral,surprised,angry"
sample_00004928,happy,"angry,worried,neutral,surprised,sad"
sample_00002524,angry,"worried,neutral,surprised,sad,happy"
sample_00007005,angry,"neutral,worried,surprised,happy,sad"
sample_00000282,sad,"sad,worried,neutral,angry,surprised"
sample_00003574,worried,"happy,neutral,surprised,worried,sad"
sample_00004856,surprise,"worried,neutral,surprised,sad,angry"
sample_00006954,neutral,"happy,neutral,surprised,worried,sad"
sample_00002843,angry,"neutral,worried,sad,angry,surprised"
sample_00002883,angry,"angry,worried,neutral,surprised,sad"
sample_00001584,neutral,"neutral,worried,sad,angry,surprised"
sample_00006690,angry,"surprised,worried,neutral,sad,angry"
sample_00006971,neutral,"happy,surprised,neutral,worried,sad"
sample_00006419,neutral,"happy,neutral,surprised,worried,sad"
sample_00006049,happy,"neutral,worried,happy,sad,surprised"
sample_00005600,happy,"happy,neutral,surprised,worried,sad"
sample_00004672,neutral,"neutral,worried,sad,angry,happy"
sample_00005903,happy,"happy,surprised,neutral,worried,sad"
sample_00006886,sad,"happy,neutral,surprised,worried,sad"
sample_00003453,neutral,"neutral,worried,sad,angry,happy"
sample_00004363,angry,"angry,worried,neutral,sad,surprised"
sample_00002472,happy,"surprised,worried,neutral,sad,happy"
sample_00005476,neutral,"neutral,worried,sad,angry,surprised"
sample_00000848,happy,"happy,surprised,neutral,worried,sad"
sample_00000994,neutral,"neutral,worried,sad,angry,happy"
