name,gt,gpt4v
273.jpg,positive,"positive,negative"
402.jpg,positive,"positive,negative"
384.jpg,negative,"negative,positive"
608.jpg,positive,"positive,negative"
602.jpg,positive,"positive,negative"
383.jpg,positive,"positive,negative"
555.jpg,positive,"positive,negative"
165.jpg,positive,"positive,negative"
192.jpg,positive,"positive,negative"
539.jpg,positive,"positive,negative"
104.jpg,negative,"negative,positive"
642.jpg,negative,"negative,positive"
382.jpg,negative,"positive,negative"
769.jpg,positive,"positive,negative"
612.jpg,negative,"positive,negative"
386.jpg,positive,"positive,negative"
363.jpg,positive,"positive,negative"
562.jpg,positive,"positive,negative"
739.jpg,positive,"positive,negative"
772.jpg,positive,"positive,negative"
482.jpg,positive,"positive,negative"
329.jpg,positive,"positive,negative"
199.jpg,negative,"negative,positive"
164.jpg,positive,"positive,negative"
398.jpg,negative,"positive,negative"
381.jpg,negative,"negative,positive"
587.jpg,positive,"negative,positive"
428.jpg,positive,"positive,negative"
507.jpg,positive,"positive,negative"
771.jpg,positive,"positive,negative"
704.jpg,positive,"positive,negative"
577.jpg,positive,"positive,negative"
297.jpg,negative,"positive,negative"
479.jpg,negative,"positive,negative"
541.jpg,positive,"positive,negative"
415.jpg,negative,"negative,positive"
592.jpg,positive,"positive,negative"
409.jpg,positive,"positive,negative"
311.jpg,negative,"positive,negative"
242.jpg,positive,"positive,negative"
799.jpg,negative,"negative,positive"
499.jpg,negative,"negative,positive"
518.jpg,positive,"positive,negative"
783.jpg,negative,"negative,positive"
651.jpg,positive,"positive,negative"
45.jpg,positive,"positive,negative"
58.jpg,positive,"positive,negative"
291.jpg,positive,"positive,negative"
72.jpg,positive,"positive,negative"
521.jpg,positive,"positive,negative"
372.jpg,positive,"positive,negative"
427.jpg,positive,"positive,negative"
74.jpg,positive,"positive,negative"
376.jpg,negative,"negative,positive"
181.jpg,positive,"positive,negative"
112.jpg,positive,"positive,negative"
512.jpg,positive,"positive,negative"
239.jpg,positive,"negative,positive"
73.jpg,positive,"positive,negative"
193.jpg,positive,"positive,negative"
472.jpg,positive,"positive,negative"
569.jpg,positive,"positive,negative"
327.jpg,negative,"positive,negative"
629.jpg,positive,"positive,negative"
48.jpg,positive,"positive,negative"
700.jpg,positive,"positive,negative"
227.jpg,positive,"positive,negative"
594.jpg,positive,"negative,positive"
737.jpg,negative,"negative,positive"
660.jpg,positive,"positive,negative"
464.jpg,positive,"positive,negative"
746.jpg,positive,"positive,negative"
424.jpg,positive,"positive,negative"
460.jpg,positive,"positive,negative"
757.jpg,positive,"negative,positive"
352.jpg,positive,"positive,negative"
341.jpg,negative,"negative,positive"
580.jpg,negative,"positive,negative"
345.jpg,negative,"positive,negative"
500.jpg,positive,"positive,negative"
459.jpg,negative,"negative,positive"
264.jpg,positive,"positive,negative"
403.jpg,negative,"positive,negative"
101.jpg,positive,"positive,negative"
527.jpg,positive,"positive,negative"
775.jpg,positive,"positive,negative"
254.jpg,positive,"positive,negative"
743.jpg,positive,"positive,negative"
488.jpg,positive,"positive,negative"
214.jpg,positive,"negative,positive"
744.jpg,positive,"positive,negative"
417.jpg,positive,"positive,negative"
144.jpg,positive,"positive,negative"
294.jpg,positive,"positive,negative"
321.jpg,negative,"negative,positive"
671.jpg,positive,"positive,negative"
119.jpg,positive,"negative,positive"
375.jpg,positive,"positive,negative"
777.jpg,positive,"positive,negative"
309.jpg,negative,"negative,positive"
687.jpg,positive,"positive,negative"
431.jpg,positive,"positive,negative"
721.jpg,positive,"positive,negative"
413.jpg,negative,"negative,positive"
742.jpg,positive,"positive,negative"
136.jpg,positive,"positive,negative"
323.jpg,positive,"positive,negative"
261.jpg,positive,"positive,negative"
638.jpg,positive,"positive,negative"
148.jpg,positive,"positive,negative"
404.jpg,negative,"negative,positive"
130.jpg,positive,"positive,negative"
260.jpg,positive,"positive,negative"
511.jpg,positive,"positive,negative"
481.jpg,positive,"positive,negative"
707.jpg,positive,"positive,negative"
225.jpg,positive,"positive,negative"
552.jpg,positive,"positive,negative"
161.jpg,positive,"positive,negative"
185.jpg,negative,"negative,positive"
262.jpg,negative,"negative,positive"
12.jpg,positive,"positive,negative"
3.jpg,positive,"positive,negative"
705.jpg,positive,"positive,negative"
465.jpg,positive,"positive,negative"
719.jpg,positive,"positive,negative"
525.jpg,positive,"positive,negative"
530.jpg,positive,"positive,negative"
437.jpg,negative,"negative,positive"
610.jpg,positive,"positive,negative"
78.jpg,positive,"positive,negative"
485.jpg,positive,"positive,negative"
422.jpg,positive,"positive,negative"
645.jpg,positive,"positive,negative"
322.jpg,positive,"positive,negative"
761.jpg,negative,"positive,negative"
194.jpg,positive,"positive,negative"
20.jpg,positive,"positive,negative"
503.jpg,positive,"positive,negative"
435.jpg,positive,"positive,negative"
429.jpg,positive,"positive,negative"
